Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          18066	       801	80000080	400018b7	lui	x17,0x40001	 x17=0x40001000
          18226	       809	80000084	10688893	addi	x17,x17,262	 x17:0x40001000 x17=0x40001106
          18386	       817	80000088	30189073	csrrw	x0,misa,x17	 x17:0x40001106  x0=0x00000000
          18546	       825	8000008c	00026d17	auipc	x26,0x26	 x26=0x8002608c
          18566	       826	80000090	c58d0d13	addi	x26,x26,-936	 x26:0x8002608c x26=0x80025ce4
          18966	       846	80000094	00002897	auipc	x17,0x2	 x17=0x80002094
          18986	       847	80000098	46c88893	addi	x17,x17,1132	 x17:0x80002094 x17=0x80002500
          19086	       852	8000009c	0018e893	ori	x17,x17,1	 x17:0x80002500 x17=0x80002501
          19106	       853	800000a0	30589073	csrrw	x0,mtvec,x17	 x17:0x80002501  x0=0x00000000
          19426	       869	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          19486	       872	800000a8	00003597	auipc	x11,0x3	 x11=0x800030a8
          19526	       874	800000ac	1d458593	addi	x11,x11,468	 x11:0x800030a8 x11=0x8000327c
          19546	       875	800000b0	4881	c.li	x17,0	 x17=0x00000000
          19566	       876	800000b2	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x00000000 x11=0x8000327c
          19586	       877	800000b4	8189	c.srli	x11,0x2	 x11:0x8000327c x11=0x20000c9f
          19606	       878	800000b6	3b059073	csrrw	x0,pmpaddr0,x11	 x11:0x20000c9f  x0=0x00000000
          19746	       885	800000ba	00003597	auipc	x11,0x3	 x11=0x800030ba
          20066	       901	800000be	1c258593	addi	x11,x11,450	 x11:0x800030ba x11=0x8000327c
          20086	       902	800000c2	111118b7	lui	x17,0x11111	 x17=0x11111000
          20106	       903	800000c6	11188893	addi	x17,x17,273	 x17:0x11111000 x17=0x11111111
          20126	       904	800000ca	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x11111111 x11=0x9111438d
          20226	       909	800000cc	8189	c.srli	x11,0x2	 x11:0x9111438d x11=0x244450e3
          20386	       917	800000ce	3b159073	csrrw	x0,pmpaddr1,x11	 x11:0x244450e3  x0=0x00000000
          20446	       920	800000d2	00003597	auipc	x11,0x3	 x11=0x800030d2
          20606	       928	800000d6	1aa58593	addi	x11,x11,426	 x11:0x800030d2 x11=0x8000327c
          20706	       933	800000da	222228b7	lui	x17,0x22222	 x17=0x22222000
          20966	       946	800000de	22288893	addi	x17,x17,546	 x17:0x22222000 x17=0x22222222
          20986	       947	800000e2	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x22222222 x11=0xa222549e
          21006	       948	800000e4	8189	c.srli	x11,0x2	 x11:0xa222549e x11=0x28889527
          21026	       949	800000e6	3b259073	csrrw	x0,pmpaddr2,x11	 x11:0x28889527  x0=0x00000000
          21226	       959	800000ea	00003597	auipc	x11,0x3	 x11=0x800030ea
          21266	       961	800000ee	19258593	addi	x11,x11,402	 x11:0x800030ea x11=0x8000327c
          21526	       974	800000f2	333338b7	lui	x17,0x33333	 x17=0x33333000
          21706	       983	800000f6	33388893	addi	x17,x17,819	 x17:0x33333000 x17=0x33333333
          21726	       984	800000fa	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x33333333 x11=0xb33365af
          21746	       985	800000fc	8189	c.srli	x11,0x2	 x11:0xb33365af x11=0x2cccd96b
          22146	      1005	800000fe	3b359073	csrrw	x0,pmpaddr3,x11	 x11:0x2cccd96b  x0=0x00000000
          22426	      1019	80000102	0f0f15b7	lui	x11,0xf0f1	 x11=0x0f0f1000
          22846	      1040	80000106	f0f58593	addi	x11,x11,-241	 x11:0x0f0f1000 x11=0x0f0f0f0f
          22926	      1044	8000010a	3a059073	csrrw	x0,pmpcfg0,x11	 x11:0x0f0f0f0f  x0=0x00000000
          22986	      1047	8000010e	00003597	auipc	x11,0x3	 x11=0x8000310e
          23006	      1048	80000112	16e58593	addi	x11,x11,366	 x11:0x8000310e x11=0x8000327c
          23106	      1053	80000116	444448b7	lui	x17,0x44444	 x17=0x44444000
          23266	      1061	8000011a	44488893	addi	x17,x17,1092	 x17:0x44444000 x17=0x44444444
          23286	      1062	8000011e	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x44444444 x11=0xc44476c0
          23306	      1063	80000120	8189	c.srli	x11,0x2	 x11:0xc44476c0 x11=0x31111db0
          23326	      1064	80000122	3b459073	csrrw	x0,pmpaddr4,x11	 x11:0x31111db0  x0=0x00000000
          23386	      1067	80000126	00003597	auipc	x11,0x3	 x11=0x80003126
          23406	      1068	8000012a	15658593	addi	x11,x11,342	 x11:0x80003126 x11=0x8000327c
          23426	      1069	8000012e	555558b7	lui	x17,0x55555	 x17=0x55555000
          23986	      1097	80000132	55588893	addi	x17,x17,1365	 x17:0x55555000 x17=0x55555555
          24006	      1098	80000136	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x55555555 x11=0xd55587d1
          24026	      1099	80000138	8189	c.srli	x11,0x2	 x11:0xd55587d1 x11=0x355561f4
          24046	      1100	8000013a	3b559073	csrrw	x0,pmpaddr5,x11	 x11:0x355561f4  x0=0x00000000
          24106	      1103	8000013e	00003597	auipc	x11,0x3	 x11=0x8000313e
          24126	      1104	80000142	13e58593	addi	x11,x11,318	 x11:0x8000313e x11=0x8000327c
          24226	      1109	80000146	666668b7	lui	x17,0x66666	 x17=0x66666000
          24246	      1110	8000014a	66688893	addi	x17,x17,1638	 x17:0x66666000 x17=0x66666666
          24266	      1111	8000014e	95c6	c.add	x11,x17	 x11:0x8000327c x17:0x66666666 x11=0xe66698e2
          24286	      1112	80000150	8189	c.srli	x11,0x2	 x11:0xe66698e2 x11=0x3999a638
