Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_239,alu,conditional_xor_operand_low_nibble,riscv_machine_mode_rand_test,943001,/workspace/ibex/dv/uvm/out
2,case_2,bug_239,alu,conditional_xor_operand_low_nibble,riscv_rand_instr_test,943001,/workspace/ibex/dv/uvm/out
3,case_3,bug_239,alu,conditional_xor_operand_low_nibble,riscv_rv32im_instr_test,943001,/workspace/ibex/dv/uvm/out
4,case_4,bug_239,alu,conditional_xor_operand_low_nibble,riscv_rv32im_instr_test,943002,/workspace/ibex/dv/uvm/out
5,case_5,bug_240,alu,conditional_or_operand_low_nibble,riscv_machine_mode_rand_test,944001,/workspace/ibex/dv/uvm/out
6,case_6,bug_240,alu,conditional_or_operand_low_nibble,riscv_machine_mode_rand_test,944002,/workspace/ibex/dv/uvm/out
7,case_7,bug_240,alu,conditional_or_operand_low_nibble,riscv_rand_instr_test,944001,/workspace/ibex/dv/uvm/out
8,case_8,bug_240,alu,conditional_or_operand_low_nibble,riscv_rand_instr_test,944002,/workspace/ibex/dv/uvm/out
9,case_9,bug_240,alu,conditional_or_operand_low_nibble,riscv_rv32im_instr_test,944001,/workspace/ibex/dv/uvm/out
10,case_10,bug_240,alu,conditional_or_operand_low_nibble,riscv_rv32im_instr_test,944002,/workspace/ibex/dv/uvm/out
11,case_11,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_machine_mode_rand_test,945001,/workspace/ibex/dv/uvm/out
12,case_12,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_machine_mode_rand_test,945002,/workspace/ibex/dv/uvm/out
13,case_13,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_rand_instr_test,945001,/workspace/ibex/dv/uvm/out
14,case_14,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_rand_instr_test,945002,/workspace/ibex/dv/uvm/out
15,case_15,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_rv32im_instr_test,945001,/workspace/ibex/dv/uvm/out
16,case_16,bug_241,decode_alu,conditional_xori_or_decode_low_bits,riscv_rv32im_instr_test,945002,/workspace/ibex/dv/uvm/out
