Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_255,decode_alu,conditional_andi_or_decode,riscv_machine_mode_rand_test,958001,/workspace/ibex/dv/uvm/out
2,case_2,bug_255,decode_alu,conditional_andi_or_decode,riscv_machine_mode_rand_test,958002,/workspace/ibex/dv/uvm/out
3,case_3,bug_255,decode_alu,conditional_andi_or_decode,riscv_machine_mode_rand_test,958003,/workspace/ibex/dv/uvm/out
4,case_4,bug_255,decode_alu,conditional_andi_or_decode,riscv_machine_mode_rand_test,958004,/workspace/ibex/dv/uvm/out
5,case_5,bug_255,decode_alu,conditional_andi_or_decode,riscv_machine_mode_rand_test,958005,/workspace/ibex/dv/uvm/out
6,case_6,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958001,/workspace/ibex/dv/uvm/out
7,case_7,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958002,/workspace/ibex/dv/uvm/out
8,case_8,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958003,/workspace/ibex/dv/uvm/out
9,case_9,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958004,/workspace/ibex/dv/uvm/out
10,case_10,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958005,/workspace/ibex/dv/uvm/out
11,case_11,bug_255,decode_alu,conditional_andi_or_decode,riscv_rand_instr_test,958006,/workspace/ibex/dv/uvm/out
12,case_12,bug_255,decode_alu,conditional_andi_or_decode,riscv_rv32im_instr_test,958001,/workspace/ibex/dv/uvm/out
13,case_13,bug_255,decode_alu,conditional_andi_or_decode,riscv_rv32im_instr_test,958003,/workspace/ibex/dv/uvm/out
14,case_14,bug_255,decode_alu,conditional_andi_or_decode,riscv_rv32im_instr_test,958004,/workspace/ibex/dv/uvm/out
15,case_15,bug_255,decode_alu,conditional_andi_or_decode,riscv_rv32im_instr_test,958005,/workspace/ibex/dv/uvm/out
16,case_16,bug_255,decode_alu,conditional_andi_or_decode,riscv_rv32im_instr_test,958006,/workspace/ibex/dv/uvm/out
17,case_17,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958001,/workspace/ibex/dv/uvm/out
18,case_18,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958002,/workspace/ibex/dv/uvm/out
19,case_19,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958003,/workspace/ibex/dv/uvm/out
20,case_20,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958004,/workspace/ibex/dv/uvm/out
21,case_21,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958005,/workspace/ibex/dv/uvm/out
22,case_22,bug_256,decode_alu,conditional_slli_srl_decode,riscv_machine_mode_rand_test,958006,/workspace/ibex/dv/uvm/out
23,case_23,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958001,/workspace/ibex/dv/uvm/out
24,case_24,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958002,/workspace/ibex/dv/uvm/out
25,case_25,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958003,/workspace/ibex/dv/uvm/out
26,case_26,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958004,/workspace/ibex/dv/uvm/out
27,case_27,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958005,/workspace/ibex/dv/uvm/out
28,case_28,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rand_instr_test,958006,/workspace/ibex/dv/uvm/out
29,case_29,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rv32im_instr_test,958001,/workspace/ibex/dv/uvm/out
30,case_30,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rv32im_instr_test,958003,/workspace/ibex/dv/uvm/out
31,case_31,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rv32im_instr_test,958004,/workspace/ibex/dv/uvm/out
32,case_32,bug_256,decode_alu,conditional_slli_srl_decode,riscv_rv32im_instr_test,958005,/workspace/ibex/dv/uvm/out
