Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_machine_mode_rand_test,934001,/workspace/ibex/dv/uvm/out
2,case_2,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_machine_mode_rand_test,934002,/workspace/ibex/dv/uvm/out
3,case_3,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_machine_mode_rand_test,934003,/workspace/ibex/dv/uvm/out
4,case_4,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_rand_instr_test,934001,/workspace/ibex/dv/uvm/out
5,case_5,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_rand_instr_test,934002,/workspace/ibex/dv/uvm/out
6,case_6,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_rand_instr_test,934003,/workspace/ibex/dv/uvm/out
7,case_7,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_rv32im_instr_test,934001,/workspace/ibex/dv/uvm/out
8,case_8,bug_228,branch_jump,conditional_bge_comparator_inversion,riscv_rv32im_instr_test,934003,/workspace/ibex/dv/uvm/out
9,case_9,bug_234,decode_alu,conditional_addi_sub_decode,riscv_machine_mode_rand_test,938002,/workspace/ibex/dv/uvm/out
10,case_10,bug_234,decode_alu,conditional_addi_sub_decode,riscv_rand_instr_test,938002,/workspace/ibex/dv/uvm/out
11,case_11,bug_234,decode_alu,conditional_addi_sub_decode,riscv_rv32im_instr_test,938002,/workspace/ibex/dv/uvm/out
