Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957007,/workspace/ibex/dv/uvm/out
2,case_2,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957008,/workspace/ibex/dv/uvm/out
3,case_3,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957009,/workspace/ibex/dv/uvm/out
4,case_4,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957010,/workspace/ibex/dv/uvm/out
5,case_5,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957011,/workspace/ibex/dv/uvm/out
6,case_6,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957007,/workspace/ibex/dv/uvm/out
7,case_7,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957008,/workspace/ibex/dv/uvm/out
8,case_8,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957009,/workspace/ibex/dv/uvm/out
9,case_9,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957010,/workspace/ibex/dv/uvm/out
10,case_10,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957011,/workspace/ibex/dv/uvm/out
11,case_11,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957007,/workspace/ibex/dv/uvm/out
12,case_12,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957008,/workspace/ibex/dv/uvm/out
13,case_13,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957009,/workspace/ibex/dv/uvm/out
14,case_14,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957010,/workspace/ibex/dv/uvm/out
15,case_15,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957011,/workspace/ibex/dv/uvm/out
16,case_16,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957007,/workspace/ibex/dv/uvm/out
17,case_17,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957008,/workspace/ibex/dv/uvm/out
18,case_18,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957009,/workspace/ibex/dv/uvm/out
19,case_19,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957010,/workspace/ibex/dv/uvm/out
20,case_20,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957011,/workspace/ibex/dv/uvm/out
