Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_242,mdu,conditional_divu_signed_mode,riscv_machine_mode_rand_test,946001,/workspace/ibex/dv/uvm/out
2,case_2,bug_242,mdu,conditional_divu_signed_mode,riscv_rand_instr_test,946001,/workspace/ibex/dv/uvm/out
3,case_3,bug_242,mdu,conditional_divu_signed_mode,riscv_rand_instr_test,946002,/workspace/ibex/dv/uvm/out
4,case_4,bug_242,mdu,conditional_divu_signed_mode,riscv_rv32im_instr_test,946002,/workspace/ibex/dv/uvm/out
5,case_5,bug_243,mdu,conditional_remu_div_operator,riscv_machine_mode_rand_test,947001,/workspace/ibex/dv/uvm/out
6,case_6,bug_243,mdu,conditional_remu_div_operator,riscv_machine_mode_rand_test,947002,/workspace/ibex/dv/uvm/out
7,case_7,bug_243,mdu,conditional_remu_div_operator,riscv_rand_instr_test,947001,/workspace/ibex/dv/uvm/out
8,case_8,bug_243,mdu,conditional_remu_div_operator,riscv_rand_instr_test,947002,/workspace/ibex/dv/uvm/out
9,case_9,bug_243,mdu,conditional_remu_div_operator,riscv_rv32im_instr_test,947001,/workspace/ibex/dv/uvm/out
10,case_10,bug_243,mdu,conditional_remu_div_operator,riscv_rv32im_instr_test,947002,/workspace/ibex/dv/uvm/out
