Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_225,mdu,rem_div_zero_result_bitflip,riscv_machine_mode_rand_test,932001,/workspace/ibex/dv/uvm/out
2,case_2,bug_225,mdu,rem_div_zero_result_bitflip,riscv_machine_mode_rand_test,932002,/workspace/ibex/dv/uvm/out
3,case_3,bug_225,mdu,rem_div_zero_result_bitflip,riscv_machine_mode_rand_test,932003,/workspace/ibex/dv/uvm/out
4,case_4,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rand_instr_test,932001,/workspace/ibex/dv/uvm/out
5,case_5,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rand_instr_test,932002,/workspace/ibex/dv/uvm/out
6,case_6,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rand_instr_test,932003,/workspace/ibex/dv/uvm/out
7,case_7,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rv32im_instr_test,932001,/workspace/ibex/dv/uvm/out
8,case_8,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rv32im_instr_test,932002,/workspace/ibex/dv/uvm/out
9,case_9,bug_225,mdu,rem_div_zero_result_bitflip,riscv_rv32im_instr_test,932003,/workspace/ibex/dv/uvm/out
10,case_10,bug_226,mdu,rem_signed_sign_source_wrong,riscv_machine_mode_rand_test,932101,/workspace/ibex/dv/uvm/out
11,case_11,bug_226,mdu,rem_signed_sign_source_wrong,riscv_machine_mode_rand_test,932102,/workspace/ibex/dv/uvm/out
12,case_12,bug_226,mdu,rem_signed_sign_source_wrong,riscv_machine_mode_rand_test,932103,/workspace/ibex/dv/uvm/out
13,case_13,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rand_instr_test,932101,/workspace/ibex/dv/uvm/out
14,case_14,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rand_instr_test,932102,/workspace/ibex/dv/uvm/out
15,case_15,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rand_instr_test,932103,/workspace/ibex/dv/uvm/out
16,case_16,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rv32im_instr_test,932101,/workspace/ibex/dv/uvm/out
17,case_17,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rv32im_instr_test,932102,/workspace/ibex/dv/uvm/out
18,case_18,bug_226,mdu,rem_signed_sign_source_wrong,riscv_rv32im_instr_test,932103,/workspace/ibex/dv/uvm/out
