Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_280,alu,pc_region_conditional_sra_operand,riscv_machine_mode_rand_test,996001,/workspace/ibex/dv/uvm/out
2,case_2,bug_280,alu,pc_region_conditional_sra_operand,riscv_machine_mode_rand_test,996002,/workspace/ibex/dv/uvm/out
3,case_3,bug_280,alu,pc_region_conditional_sra_operand,riscv_rand_instr_test,996001,/workspace/ibex/dv/uvm/out
4,case_4,bug_280,alu,pc_region_conditional_sra_operand,riscv_rand_instr_test,996002,/workspace/ibex/dv/uvm/out
5,case_5,bug_280,alu,pc_region_conditional_sra_operand,riscv_rv32im_instr_test,996001,/workspace/ibex/dv/uvm/out
6,case_6,bug_280,alu,pc_region_conditional_sra_operand,riscv_rv32im_instr_test,996002,/workspace/ibex/dv/uvm/out
7,case_7,bug_281,alu,pc_region_conditional_sltu_operand,riscv_machine_mode_rand_test,996003,/workspace/ibex/dv/uvm/out
8,case_8,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rand_instr_test,996003,/workspace/ibex/dv/uvm/out
9,case_9,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rand_instr_test,996004,/workspace/ibex/dv/uvm/out
10,case_10,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rv32im_instr_test,996003,/workspace/ibex/dv/uvm/out
11,case_11,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rv32im_instr_test,996004,/workspace/ibex/dv/uvm/out
