Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_218,pipeline_hazard,mul_stall_omitted,riscv_machine_mode_rand_test,930301,/workspace/ibex/dv/uvm/out
2,case_2,bug_218,pipeline_hazard,mul_stall_omitted,riscv_machine_mode_rand_test,930302,/workspace/ibex/dv/uvm/out
3,case_3,bug_218,pipeline_hazard,mul_stall_omitted,riscv_machine_mode_rand_test,930303,/workspace/ibex/dv/uvm/out
4,case_4,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rand_instr_test,930301,/workspace/ibex/dv/uvm/out
5,case_5,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rand_instr_test,930302,/workspace/ibex/dv/uvm/out
6,case_6,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rand_instr_test,930303,/workspace/ibex/dv/uvm/out
7,case_7,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rv32im_instr_test,930301,/workspace/ibex/dv/uvm/out
8,case_8,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rv32im_instr_test,930302,/workspace/ibex/dv/uvm/out
9,case_9,bug_218,pipeline_hazard,mul_stall_omitted,riscv_rv32im_instr_test,930303,/workspace/ibex/dv/uvm/out
10,case_10,bug_222,register_file,x27_write_lsb_flipped,riscv_machine_mode_rand_test,930701,/workspace/ibex/dv/uvm/out
11,case_11,bug_222,register_file,x27_write_lsb_flipped,riscv_machine_mode_rand_test,930702,/workspace/ibex/dv/uvm/out
12,case_12,bug_222,register_file,x27_write_lsb_flipped,riscv_machine_mode_rand_test,930703,/workspace/ibex/dv/uvm/out
13,case_13,bug_222,register_file,x27_write_lsb_flipped,riscv_rand_instr_test,930701,/workspace/ibex/dv/uvm/out
14,case_14,bug_222,register_file,x27_write_lsb_flipped,riscv_rand_instr_test,930702,/workspace/ibex/dv/uvm/out
15,case_15,bug_222,register_file,x27_write_lsb_flipped,riscv_rand_instr_test,930703,/workspace/ibex/dv/uvm/out
16,case_16,bug_222,register_file,x27_write_lsb_flipped,riscv_rv32im_instr_test,930702,/workspace/ibex/dv/uvm/out
17,case_17,bug_222,register_file,x27_write_lsb_flipped,riscv_rv32im_instr_test,930703,/workspace/ibex/dv/uvm/out
18,case_18,bug_223,register_file,x20_write_lsb_flipped,riscv_machine_mode_rand_test,930802,/workspace/ibex/dv/uvm/out
19,case_19,bug_223,register_file,x20_write_lsb_flipped,riscv_machine_mode_rand_test,930803,/workspace/ibex/dv/uvm/out
20,case_20,bug_223,register_file,x20_write_lsb_flipped,riscv_rand_instr_test,930802,/workspace/ibex/dv/uvm/out
21,case_21,bug_224,register_file,x21_write_lsb_flipped,riscv_machine_mode_rand_test,931003,/workspace/ibex/dv/uvm/out
22,case_22,bug_224,register_file,x21_write_lsb_flipped,riscv_machine_mode_rand_test,931004,/workspace/ibex/dv/uvm/out
23,case_23,bug_224,register_file,x21_write_lsb_flipped,riscv_machine_mode_rand_test,931005,/workspace/ibex/dv/uvm/out
24,case_24,bug_224,register_file,x21_write_lsb_flipped,riscv_rand_instr_test,931003,/workspace/ibex/dv/uvm/out
25,case_25,bug_224,register_file,x21_write_lsb_flipped,riscv_rand_instr_test,931004,/workspace/ibex/dv/uvm/out
26,case_26,bug_224,register_file,x21_write_lsb_flipped,riscv_rand_instr_test,931005,/workspace/ibex/dv/uvm/out
