Case,bucket
1,bug_054
2,bug_054
3,bug_054
4,bug_054
5,bug_054
6,bug_054
7,bug_283
8,bug_283
9,bug_054
10,bug_283
11,bug_282
12,bug_282
13,bug_282
14,bug_281
15,bug_281
16,bug_281
17,bug_280
18,bug_280
19,bug_280
20,bug_054
21,bug_276
22,bug_276
23,bug_276
24,bug_273
25,bug_273
26,bug_273
27,bug_254
28,bug_254
29,bug_254
30,bug_254
31,bug_054
32,bug_254
33,bug_254
34,bug_254
35,bug_254
36,bug_254
37,bug_254
38,bug_253
39,bug_253
40,bug_253
41,bug_253
42,bug_054
43,bug_041
44,bug_253
45,bug_253
46,bug_253
47,bug_253
48,bug_253
49,bug_253
50,bug_224
51,bug_224
52,bug_224
53,bug_224
54,bug_054
55,bug_224
56,bug_224
57,bug_223
58,bug_223
59,bug_223
60,bug_222
61,bug_222
62,bug_222
63,bug_222
64,bug_222
65,bug_054
66,bug_222
67,bug_222
68,bug_222
69,bug_218
70,bug_218
71,bug_218
72,bug_218
73,bug_218
74,bug_218
75,bug_218
76,bug_054
77,bug_218
78,bug_218
79,bug_052
80,bug_052
81,bug_052
82,bug_052
83,bug_047
84,bug_047
85,bug_047
86,bug_047
87,bug_054
88,bug_047
89,bug_047
90,bug_156
91,bug_156
92,bug_156
93,bug_156
94,bug_051
95,bug_051
96,bug_051
97,bug_051
98,bug_053
99,bug_051
100,bug_051
101,bug_051
102,bug_051
103,bug_051
104,bug_103
105,bug_103
106,bug_103
107,bug_103
108,bug_103
109,bug_053
110,bug_103
111,bug_103
112,bug_103
113,bug_103
114,bug_103
115,bug_103
116,bug_103
117,bug_103
118,bug_103
119,bug_103
120,bug_053
121,bug_103
122,bug_103
123,bug_103
124,bug_103
125,bug_103
126,bug_103
127,bug_103
128,bug_103
129,bug_103
130,bug_103
131,bug_053
132,bug_103
133,bug_103
134,bug_103
135,bug_103
136,bug_103
137,bug_103
138,bug_103
139,bug_103
140,bug_103
141,bug_211
142,bug_053
143,bug_211
144,bug_211
145,bug_211
146,bug_211
147,bug_211
148,bug_211
149,bug_211
150,bug_211
151,bug_211
152,bug_211
153,bug_053
154,bug_041
155,bug_211
156,bug_211
157,bug_195
158,bug_195
159,bug_195
160,bug_195
161,bug_195
162,bug_195
163,bug_195
164,bug_195
165,bug_053
166,bug_195
167,bug_195
168,bug_195
169,bug_195
170,bug_195
171,bug_176
172,bug_176
173,bug_176
174,bug_176
175,bug_176
176,bug_053
177,bug_176
178,bug_176
179,bug_176
180,bug_176
181,bug_176
182,bug_176
183,bug_176
184,bug_176
185,bug_176
186,bug_176
187,bug_053
188,bug_161
189,bug_161
190,bug_176
191,bug_161
192,bug_176
193,bug_161
194,bug_161
195,bug_176
196,bug_161
197,bug_176
198,bug_053
199,bug_161
200,bug_161
201,bug_176
202,bug_161
203,bug_161
204,bug_161
205,bug_161
206,bug_161
207,bug_161
208,bug_161
209,bug_053
210,bug_161
211,bug_161
212,bug_161
213,bug_147
214,bug_161
215,bug_161
216,bug_147
217,bug_147
218,bug_147
219,bug_147
220,bug_053
221,bug_147
222,bug_147
223,bug_147
224,bug_147
225,bug_147
226,bug_147
227,bug_147
228,bug_147
229,bug_147
230,bug_147
231,bug_053
232,bug_147
233,bug_147
234,bug_147
235,bug_147
236,bug_147
237,bug_072
238,bug_146
239,bug_146
240,bug_136
241,bug_146
242,bug_053
243,bug_136
244,bug_146
245,bug_128
246,bug_129
247,bug_146
248,bug_129
249,bug_128
250,bug_146
251,bug_128
252,bug_129
253,bug_053
254,bug_128
255,bug_136
256,bug_128
257,bug_129
258,bug_136
259,bug_128
260,bug_129
261,bug_136
262,bug_128
263,bug_129
