Case,case_id,bug_id,group,family,test,seed,source_run_dir,source_package,source_case
1,case_1,bug_054,coverage64,validated_or_probe_candidate,riscv_rv32im_instr_test,12517,,coverage64_release_20260827_v5.tar.gz,case_99
2,case_2,bug_054,coverage64,validated_or_probe_candidate,riscv_rv32im_instr_test,12516,,coverage64_release_20260827_v5.tar.gz,case_98
3,case_3,bug_054,coverage64,validated_or_probe_candidate,riscv_rand_instr_test,12513,,coverage64_release_20260827_v5.tar.gz,case_97
4,case_4,bug_054,coverage64,validated_or_probe_candidate,riscv_rand_instr_test,12512,,coverage64_release_20260827_v5.tar.gz,case_96
5,case_5,bug_054,coverage64,validated_or_probe_candidate,riscv_rand_instr_test,12511,,coverage64_release_20260827_v5.tar.gz,case_95
6,case_6,bug_054,coverage64,validated_or_probe_candidate,riscv_machine_mode_rand_test,12509,,coverage64_release_20260827_v5.tar.gz,case_94
7,case_7,bug_283,mdu,pc_region_rem_to_div_decode,riscv_rv32im_instr_test,993001,,coverage64_release_20260827_v5.tar.gz,case_931
8,case_8,bug_283,mdu,pc_region_rem_to_div_decode,riscv_rand_instr_test,993001,,coverage64_release_20260827_v5.tar.gz,case_930
9,case_9,bug_054,coverage64,validated_or_probe_candidate,riscv_machine_mode_rand_test,12508,,coverage64_release_20260827_v5.tar.gz,case_93
10,case_10,bug_283,mdu,pc_region_rem_to_div_decode,riscv_machine_mode_rand_test,993001,,coverage64_release_20260827_v5.tar.gz,case_929
11,case_11,bug_282,mdu,pc_region_div_to_rem_decode,riscv_rv32im_instr_test,993001,,coverage64_release_20260827_v5.tar.gz,case_928
12,case_12,bug_282,mdu,pc_region_div_to_rem_decode,riscv_rand_instr_test,993001,,coverage64_release_20260827_v5.tar.gz,case_927
13,case_13,bug_282,mdu,pc_region_div_to_rem_decode,riscv_machine_mode_rand_test,993001,,coverage64_release_20260827_v5.tar.gz,case_926
14,case_14,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rv32im_instr_test,992003,,coverage64_release_20260827_v5.tar.gz,case_925
15,case_15,bug_281,alu,pc_region_conditional_sltu_operand,riscv_rand_instr_test,992003,,coverage64_release_20260827_v5.tar.gz,case_924
16,case_16,bug_281,alu,pc_region_conditional_sltu_operand,riscv_machine_mode_rand_test,992003,,coverage64_release_20260827_v5.tar.gz,case_923
17,case_17,bug_280,alu,pc_region_conditional_sra_operand,riscv_rv32im_instr_test,992002,,coverage64_release_20260827_v5.tar.gz,case_922
18,case_18,bug_280,alu,pc_region_conditional_sra_operand,riscv_rand_instr_test,992002,,coverage64_release_20260827_v5.tar.gz,case_921
19,case_19,bug_280,alu,pc_region_conditional_sra_operand,riscv_machine_mode_rand_test,992002,,coverage64_release_20260827_v5.tar.gz,case_920
20,case_20,bug_054,coverage64,validated_or_probe_candidate,riscv_machine_mode_rand_test,12507,,coverage64_release_20260827_v5.tar.gz,case_92
21,case_21,bug_276,debug,conditional_dcsr_prv_wrong,riscv_debug_ebreakmu_test,991002,,coverage64_release_20260827_v5.tar.gz,case_919
22,case_22,bug_276,debug,conditional_dcsr_prv_wrong,riscv_debug_ebreak_test,991002,,coverage64_release_20260827_v5.tar.gz,case_918
23,case_23,bug_276,debug,conditional_dcsr_prv_wrong,riscv_debug_csr_entry_test,991002,,coverage64_release_20260827_v5.tar.gz,case_917
24,case_24,bug_273,debug,conditional_dcsr_cause_haltreq,riscv_debug_ebreakmu_test,991002,,coverage64_release_20260827_v5.tar.gz,case_916
25,case_25,bug_273,debug,conditional_dcsr_cause_haltreq,riscv_debug_ebreak_test,991002,,coverage64_release_20260827_v5.tar.gz,case_915
26,case_26,bug_273,debug,conditional_dcsr_cause_haltreq,riscv_debug_csr_entry_test,991002,,coverage64_release_20260827_v5.tar.gz,case_914
27,case_27,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957011,,coverage64_release_20260827_v5.tar.gz,case_913
28,case_28,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957010,,coverage64_release_20260827_v5.tar.gz,case_912
29,case_29,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957009,,coverage64_release_20260827_v5.tar.gz,case_911
30,case_30,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957008,,coverage64_release_20260827_v5.tar.gz,case_910
31,case_31,bug_054,coverage64,validated_or_probe_candidate,riscv_machine_mode_rand_test,12506,,coverage64_release_20260827_v5.tar.gz,case_91
32,case_32,bug_254,interrupt,interrupt_mcause_bit,riscv_single_interrupt_test,957007,,coverage64_release_20260827_v5.tar.gz,case_909
33,case_33,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957011,,coverage64_release_20260827_v5.tar.gz,case_908
34,case_34,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957010,,coverage64_release_20260827_v5.tar.gz,case_907
35,case_35,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957009,,coverage64_release_20260827_v5.tar.gz,case_906
36,case_36,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957008,,coverage64_release_20260827_v5.tar.gz,case_905
37,case_37,bug_254,interrupt,interrupt_mcause_bit,riscv_multiple_interrupt_test,957007,,coverage64_release_20260827_v5.tar.gz,case_904
38,case_38,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957011,,coverage64_release_20260827_v5.tar.gz,case_903
39,case_39,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957010,,coverage64_release_20260827_v5.tar.gz,case_902
40,case_40,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957009,,coverage64_release_20260827_v5.tar.gz,case_901
41,case_41,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957008,,coverage64_release_20260827_v5.tar.gz,case_900
42,case_42,bug_054,coverage64,validated_or_probe_candidate,riscv_arithmetic_basic_test,12505,,coverage64_release_20260827_v5.tar.gz,case_90
43,case_43,bug_041,coverage64,validated_or_probe_candidate,riscv_machine_mode_rand_test,12009,,coverage64_release_20260827_v5.tar.gz,case_9
44,case_44,bug_253,interrupt,interrupt_entry_mpie_save,riscv_single_interrupt_test,957007,,coverage64_release_20260827_v5.tar.gz,case_899
45,case_45,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957011,,coverage64_release_20260827_v5.tar.gz,case_898
46,case_46,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957010,,coverage64_release_20260827_v5.tar.gz,case_897
47,case_47,bug_253,interrupt,interrupt_entry_mpie_save,riscv_multiple_interrupt_test,957009,,coverage64_release_20260827_v5.tar.gz,case_896
