Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8001,/workspace/ibex/dv/uvm/out
2,case_2,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8002,/workspace/ibex/dv/uvm/out
3,case_3,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8003,/workspace/ibex/dv/uvm/out
4,case_4,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8004,/workspace/ibex/dv/uvm/out
5,case_5,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8005,/workspace/ibex/dv/uvm/out
6,case_6,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8006,/workspace/ibex/dv/uvm/out
7,case_7,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8007,/workspace/ibex/dv/uvm/out
8,case_8,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8008,/workspace/ibex/dv/uvm/out
9,case_9,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8009,/workspace/ibex/dv/uvm/out
10,case_10,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8010,/workspace/ibex/dv/uvm/out
11,case_11,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8011,/workspace/ibex/dv/uvm/out
12,case_12,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8012,/workspace/ibex/dv/uvm/out
13,case_13,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8013,/workspace/ibex/dv/uvm/out
14,case_14,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8014,/workspace/ibex/dv/uvm/out
15,case_15,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8015,/workspace/ibex/dv/uvm/out
16,case_16,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8016,/workspace/ibex/dv/uvm/out
17,case_17,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8017,/workspace/ibex/dv/uvm/out
18,case_18,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8018,/workspace/ibex/dv/uvm/out
19,case_19,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8019,/workspace/ibex/dv/uvm/out
20,case_20,bug_128,expansion_20260824,baseline_validated,riscv_machine_mode_rand_test,8020,/workspace/ibex/dv/uvm/out
21,case_21,bug_128,expansion_20260824,baseline_validated,riscv_rand_jump_test,8001,/workspace/ibex/dv/uvm/out
