case,bug,test,seed,source_run_dir,primary_type,uvm_level,fatal_file,fatal_line,fatal_time,fatal_message,mismatch_type,has_dual_compare,has_simplified_ibex,ibex_index,spike_index,ibex_pc,spike_pc,ibex_opcode,spike_opcode,op_pair,matched_count,mismatch_count,pc_region,sim_line_count,regr_line_count,trace_line_count,sim_template_hash,regr_template_hash,trace_hash
1,bug_128,riscv_machine_mode_rand_test,23001,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,113,113,8000623a,8000626e,sll,slli,sll|slli,105,1205,8000,70,6,2365,dc005e5ecff775a4,b2fb119efb3e5680,da8b31ac7f792c61
2,bug_128,riscv_machine_mode_rand_test,23002,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,82,82,800001f8,80000206,add,c.srai,add|c.srai,76,4880,8000,70,6,7104,32c5d595a09a6b14,b57b6d804249a355,4b7e6161ca31d84f
3,bug_128,riscv_machine_mode_rand_test,23003,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,125,125,8000511a,80005150,mulh,c.add,mulh|c.add,110,4269,8000,70,6,7379,aeb0ec0cacc79fde,fa88436cfb0d75cf,f6c321dfdbf23872
4,bug_128,riscv_machine_mode_rand_test,23004,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,63,63,8000017a,800001a8,addi,c.srli,addi|c.srli,63,4290,8000,70,6,7206,8e7a446960aa6b72,477f421e10f693c3,20e7cecfee5cf944
5,bug_128,riscv_machine_mode_rand_test,23005,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,77,77,800001c2,800001a0,xori,csrrsi,xori|csrrsi,79,4092,8000,70,6,7288,f88d60caee8039f7,7d2c498008979b8b,c4bf78248ecca2fb
6,bug_128,riscv_machine_mode_rand_test,23006,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,61,61,80000172,800001a2,c.or,slt,c.or|slt,64,4595,8000,70,6,9760,b2c7e2ed5ca1abf4,a373c904960667bf,6784a2d96cf7f6ca
7,bug_128,riscv_machine_mode_rand_test,23008,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,91,91,80004aa0,80004aae,csrrwi,c.or,csrrwi|c.or,96,5968,8000,70,6,7542,22b58ef6d3fe8c8b,c9cb312b2fea7115,2658dd5a78a58620
8,bug_128,riscv_machine_mode_rand_test,23009,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,101,101,8000022e,80000216,slli,auipc,slli|auipc,108,3449,8000,70,6,7410,51cb9d3a6a490406,e5e9c3bd21801b77,46184067e27e129f
9,bug_128,riscv_machine_mode_rand_test,23010,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,117,117,800074cc,800074fc,add,srl,add|srl,105,2295,8000,70,6,2773,3d7bafbcc07b4248,5ac6765839511ec0,c846b17848a4c3f4
10,bug_128,riscv_machine_mode_rand_test,23011,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,66,66,80000174,8000018a,sll,c.addi,sll|c.addi,70,1566,8000,70,6,2813,49b64cc98174aec1,52706a182fe8675d,d24ef470973728d0
11,bug_128,riscv_machine_mode_rand_test,23012,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,57,57,80000166,8000015c,csrrw,c.sub,csrrw|c.sub,61,9454,8000,70,6,7071,43d72572de1f5046,f4a26792b375e130,e3c1c7a2336fe688
12,bug_128,riscv_machine_mode_rand_test,23013,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,64,64,8000017a,80000198,csrrci,c.srai,csrrci|c.srai,93,14315,8000,70,6,18026,4faf9961eaaa95fb,b1c057c08831a18e,360f4b812b93f7c1
13,bug_128,riscv_machine_mode_rand_test,23014,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,103,103,8000037e,8000039a,c.mv,lui,c.mv|lui,104,4477,8000,70,6,6096,87507eb3f77aa2e3,cb1256fc91c4ac3d,a2bf9bfcf957395c
14,bug_128,riscv_machine_mode_rand_test,23015,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,125,125,80003b10,80003b3a,remu,csrrsi,remu|csrrsi,123,2814,8000,70,6,7427,3bc9663889dd755f,cf81aed58ee56f27,e3a76e78de30e0bb
15,bug_128,riscv_machine_mode_rand_test,23016,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,98,98,800001f4,800001fa,c.addi16sp,sltu,c.addi16sp|sltu,84,4025,8000,70,6,759,f4ea127310657918,0096ee3557ed62d5,7f5f3577ed6c158c
16,bug_128,riscv_machine_mode_rand_test,23017,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,70,70,800001d2,800001a6,slt,lui,slt|lui,71,4270,8000,70,6,9309,a2d0fc50fd51df8e,2d81f73109dfee38,2d4a00c296e1003f
17,bug_128,riscv_machine_mode_rand_test,23018,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,133,133,800002be,800002f4,sll,add,sll|add,128,2038,8000,70,6,4331,5ae75146393ca012,7735b7d75a4bda1b,6c41006294dcd66b
18,bug_128,riscv_machine_mode_rand_test,23019,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,66,66,8000017e,80000182,mulhu,jalr,mulhu|jalr,63,4231,8000,70,6,7095,269f97a818120514,ce15940a1b03bf81,854297607b525933
19,bug_128,riscv_machine_mode_rand_test,23020,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,59,59,80000184,800001a0,csrrci,and,csrrci|and,58,4487,8000,70,6,8876,e2fafe1c7bc377bc,90a65afb569de55f,fbce18f8e98bc16b
20,bug_128,riscv_machine_mode_rand_test,23021,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,57,57,8000015e,8000018a,mulhu,csrrci,mulhu|csrrci,51,194,8000,70,6,6260,269f97a818120514,150decc596990cfa,5932a4f820dc26df
