Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23001,/workspace/ibex/dv/uvm/out
2,case_2,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23002,/workspace/ibex/dv/uvm/out
3,case_3,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23003,/workspace/ibex/dv/uvm/out
4,case_4,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23004,/workspace/ibex/dv/uvm/out
5,case_5,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23005,/workspace/ibex/dv/uvm/out
6,case_6,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23006,/workspace/ibex/dv/uvm/out
7,case_7,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23008,/workspace/ibex/dv/uvm/out
8,case_8,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23009,/workspace/ibex/dv/uvm/out
9,case_9,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23010,/workspace/ibex/dv/uvm/out
10,case_10,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23011,/workspace/ibex/dv/uvm/out
11,case_11,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23012,/workspace/ibex/dv/uvm/out
12,case_12,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23013,/workspace/ibex/dv/uvm/out
13,case_13,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23014,/workspace/ibex/dv/uvm/out
14,case_14,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23015,/workspace/ibex/dv/uvm/out
15,case_15,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23016,/workspace/ibex/dv/uvm/out
16,case_16,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23017,/workspace/ibex/dv/uvm/out
17,case_17,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23018,/workspace/ibex/dv/uvm/out
18,case_18,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23019,/workspace/ibex/dv/uvm/out
19,case_19,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23020,/workspace/ibex/dv/uvm/out
20,case_20,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23021,/workspace/ibex/dv/uvm/out
21,case_21,bug_128,branch,bne_decoded_as_beq,riscv_machine_mode_rand_test,23022,/workspace/ibex/dv/uvm/out
