Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          27093	      1253	80000080	400016b7	lui	x13,0x40001	 x13=0x40001000
          27113	      1254	80000084	10668693	addi	x13,x13,262	 x13:0x40001000 x13=0x40001106
          27173	      1257	80000088	30169073	csrrw	x0,misa,x13	 x13:0x40001106  x0=0x00000000
          27233	      1260	8000008c	00026f17	auipc	x30,0x26	 x30=0x8002608c
          27653	      1281	80000090	c58f0f13	addi	x30,x30,-936	 x30:0x8002608c x30=0x80025ce4
          28073	      1302	80000094	00002697	auipc	x13,0x2	 x13=0x80002094
          28233	      1310	80000098	66c68693	addi	x13,x13,1644	 x13:0x80002094 x13=0x80002700
          28453	      1321	8000009c	0016e693	ori	x13,x13,1	 x13:0x80002700 x13=0x80002701
          28693	      1333	800000a0	30569073	csrrw	x0,mtvec,x13	 x13:0x80002701  x0=0x00000000
          28753	      1336	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          28813	      1339	800000a8	00003417	auipc	x8,0x3	  x8=0x800030a8
          28833	      1340	800000ac	3c840413	addi	x8,x8,968	  x8:0x800030a8  x8=0x80003470
          28913	      1344	800000b0	4681	c.li	x13,0	 x13=0x00000000
          28933	      1345	800000b2	9436	c.add	x8,x13	  x8:0x80003470 x13:0x00000000  x8=0x80003470
          29333	      1365	800000b4	8009	c.srli	x8,0x2	  x8:0x80003470  x8=0x20000d1c
          29513	      1374	800000b6	3b041073	csrrw	x0,pmpaddr0,x8	  x8:0x20000d1c  x0=0x00000000
          29933	      1395	800000ba	00003417	auipc	x8,0x3	  x8=0x800030ba
          30053	      1401	800000be	3b640413	addi	x8,x8,950	  x8:0x800030ba  x8=0x80003470
          30073	      1402	800000c2	111116b7	lui	x13,0x11111	 x13=0x11111000
          30093	      1403	800000c6	11168693	addi	x13,x13,273	 x13:0x11111000 x13=0x11111111
          30113	      1404	800000ca	9436	c.add	x8,x13	  x8:0x80003470 x13:0x11111111  x8=0x91114581
          30133	      1405	800000cc	8009	c.srli	x8,0x2	  x8:0x91114581  x8=0x24445160
          30153	      1406	800000ce	3b141073	csrrw	x0,pmpaddr1,x8	  x8:0x24445160  x0=0x00000000
          30213	      1409	800000d2	00003417	auipc	x8,0x3	  x8=0x800030d2
          30273	      1412	800000d6	39e40413	addi	x8,x8,926	  x8:0x800030d2  x8=0x80003470
          30313	      1414	800000da	222226b7	lui	x13,0x22222	 x13=0x22222000
          30733	      1435	800000de	22268693	addi	x13,x13,546	 x13:0x22222000 x13=0x22222222
          30753	      1436	800000e2	9436	c.add	x8,x13	  x8:0x80003470 x13:0x22222222  x8=0xa2225692
          31073	      1452	800000e4	8009	c.srli	x8,0x2	  x8:0xa2225692  x8=0x288895a4
          31273	      1462	800000e6	3b241073	csrrw	x0,pmpaddr2,x8	  x8:0x288895a4  x0=0x00000000
          31693	      1483	800000ea	00003417	auipc	x8,0x3	  x8=0x800030ea
          31713	      1484	800000ee	38640413	addi	x8,x8,902	  x8:0x800030ea  x8=0x80003470
          31733	      1485	800000f2	333336b7	lui	x13,0x33333	 x13=0x33333000
          31753	      1486	800000f6	33368693	addi	x13,x13,819	 x13:0x33333000 x13=0x33333333
          31773	      1487	800000fa	9436	c.add	x8,x13	  x8:0x80003470 x13:0x33333333  x8=0xb33367a3
          32053	      1501	800000fc	8009	c.srli	x8,0x2	  x8:0xb33367a3  x8=0x2cccd9e8
          32393	      1518	800000fe	3b341073	csrrw	x0,pmpaddr3,x8	  x8:0x2cccd9e8  x0=0x00000000
          32513	      1524	80000102	0f0f1437	lui	x8,0xf0f1	  x8=0x0f0f1000
          32693	      1533	80000106	f0f40413	addi	x8,x8,-241	  x8:0x0f0f1000  x8=0x0f0f0f0f
          32713	      1534	8000010a	3a041073	csrrw	x0,pmpcfg0,x8	  x8:0x0f0f0f0f  x0=0x00000000
          32773	      1537	8000010e	00003417	auipc	x8,0x3	  x8=0x8000310e
          33133	      1555	80000112	36240413	addi	x8,x8,866	  x8:0x8000310e  x8=0x80003470
          33153	      1556	80000116	444446b7	lui	x13,0x44444	 x13=0x44444000
          33173	      1557	8000011a	44468693	addi	x13,x13,1092	 x13:0x44444000 x13=0x44444444
          33193	      1558	8000011e	9436	c.add	x8,x13	  x8:0x80003470 x13:0x44444444  x8=0xc44478b4
          33213	      1559	80000120	8009	c.srli	x8,0x2	  x8:0xc44478b4  x8=0x31111e2d
          33493	      1573	80000122	3b441073	csrrw	x0,pmpaddr4,x8	  x8:0x31111e2d  x0=0x00000000
          33793	      1588	80000126	00003417	auipc	x8,0x3	  x8=0x80003126
          33853	      1591	8000012a	34a40413	addi	x8,x8,842	  x8:0x80003126  x8=0x80003470
          33873	      1592	8000012e	555556b7	lui	x13,0x55555	 x13=0x55555000
          33893	      1593	80000132	55568693	addi	x13,x13,1365	 x13:0x55555000 x13=0x55555555
          33913	      1594	80000136	9436	c.add	x8,x13	  x8:0x80003470 x13:0x55555555  x8=0xd55589c5
          33933	      1595	80000138	8009	c.srli	x8,0x2	  x8:0xd55589c5  x8=0x35556271
          33953	      1596	8000013a	3b541073	csrrw	x0,pmpaddr5,x8	  x8:0x35556271  x0=0x00000000
          34153	      1606	8000013e	00003417	auipc	x8,0x3	  x8=0x8000313e
          34173	      1607	80000142	33240413	addi	x8,x8,818	  x8:0x8000313e  x8=0x80003470
          34273	      1612	80000146	666666b7	lui	x13,0x66666	 x13=0x66666000
          34293	      1613	8000014a	66668693	addi	x13,x13,1638	 x13:0x66666000 x13=0x66666666
          34313	      1614	8000014e	9436	c.add	x8,x13	  x8:0x80003470 x13:0x66666666  x8=0xe6669ad6
          34473	      1622	80000150	8009	c.srli	x8,0x2	  x8:0xe6669ad6  x8=0x3999a6b5
          34593	      1628	80000152	3b641073	csrrw	x0,pmpaddr6,x8	  x8:0x3999a6b5  x0=0x00000000
          34653	      1631	80000156	00003417	auipc	x8,0x3	  x8=0x80003156
          34873	      1642	8000015a	31a40413	addi	x8,x8,794	  x8:0x80003156  x8=0x80003470
          35293	      1663	8000015e	777776b7	lui	x13,0x77777	 x13=0x77777000
          35313	      1664	80000162	77768693	addi	x13,x13,1911	 x13:0x77777000 x13=0x77777777
          35333	      1665	80000166	9436	c.add	x8,x13	  x8:0x80003470 x13:0x77777777  x8=0xf777abe7
          35413	      1669	80000168	8009	c.srli	x8,0x2	  x8:0xf777abe7  x8=0x3dddeaf9
          35433	      1670	8000016a	3b741073	csrrw	x0,pmpaddr7,x8	  x8:0x3dddeaf9  x0=0x00000000
          35593	      1678	8000016e	0f0f1437	lui	x8,0xf0f1	  x8=0x0f0f1000
          35673	      1682	80000172	f0f40413	addi	x8,x8,-241	  x8:0x0f0f1000  x8=0x0f0f0f0f
          35693	      1683	80000176	3a141073	csrrw	x0,pmpcfg1,x8	  x8:0x0f0f0f0f  x0=0x00000000
          35793	      1688	8000017a	00003417	auipc	x8,0x3	  x8=0x8000317a
          35813	      1689	8000017e	2f640413	addi	x8,x8,758	  x8:0x8000317a  x8=0x80003470
          35833	      1690	80000182	888896b7	lui	x13,0x88889	 x13=0x88889000
          36193	      1708	80000186	88868693	addi	x13,x13,-1912	 x13:0x88889000 x13=0x88888888
          36213	      1709	8000018a	9436	c.add	x8,x13	  x8:0x80003470 x13:0x88888888  x8=0x0888bcf8
          36253	      1711	8000018c	8009	c.srli	x8,0x2	  x8:0x0888bcf8  x8=0x02222f3e
          36273	      1712	8000018e	3b841073	csrrw	x0,pmpaddr8,x8	  x8:0x02222f3e  x0=0x00000000
          36333	      1715	80000192	00003417	auipc	x8,0x3	  x8=0x80003192
          36453	      1721	80000196	2de40413	addi	x8,x8,734	  x8:0x80003192  x8=0x80003470
          36473	      1722	8000019a	9999a6b7	lui	x13,0x9999a	 x13=0x9999a000
          36773	      1737	8000019e	99968693	addi	x13,x13,-1639	 x13:0x9999a000 x13=0x99999999
          36793	      1738	800001a2	9436	c.add	x8,x13	  x8:0x80003470 x13:0x99999999  x8=0x1999ce09
          36853	      1741	800001a4	8009	c.srli	x8,0x2	  x8:0x1999ce09  x8=0x06667382
          37033	      1750	800001a6	3b941073	csrrw	x0,pmpaddr9,x8	  x8:0x06667382  x0=0x00000000
          37453	      1771	800001aa	00003417	auipc	x8,0x3	  x8=0x800031aa
          37473	      1772	800001ae	2c640413	addi	x8,x8,710	  x8:0x800031aa  x8=0x80003470
          37493	      1773	800001b2	aaaab6b7	lui	x13,0xaaaab	 x13=0xaaaab000
          37513	      1774	800001b6	aaa68693	addi	x13,x13,-1366	 x13:0xaaaab000 x13=0xaaaaaaaa
          37533	      1775	800001ba	9436	c.add	x8,x13	  x8:0x80003470 x13:0xaaaaaaaa  x8=0x2aaadf1a
          37713	      1784	800001bc	8009	c.srli	x8,0x2	  x8:0x2aaadf1a  x8=0x0aaab7c6
          37733	      1785	800001be	3ba41073	csrrw	x0,pmpaddr10,x8	  x8:0x0aaab7c6  x0=0x00000000
          37913	      1794	800001c2	00003417	auipc	x8,0x3	  x8=0x800031c2
          37933	      1795	800001c6	2ae40413	addi	x8,x8,686	  x8:0x800031c2  x8=0x80003470
          37953	      1796	800001ca	bbbbc6b7	lui	x13,0xbbbbc	 x13=0xbbbbc000
          38133	      1805	800001ce	bbb68693	addi	x13,x13,-1093	 x13:0xbbbbc000 x13=0xbbbbbbbb
          38153	      1806	800001d2	9436	c.add	x8,x13	  x8:0x80003470 x13:0xbbbbbbbb  x8=0x3bbbf02b
          38173	      1807	800001d4	8009	c.srli	x8,0x2	  x8:0x3bbbf02b  x8=0x0eeefc0a
          38573	      1827	800001d6	3bb41073	csrrw	x0,pmpaddr11,x8	  x8:0x0eeefc0a  x0=0x00000000
          38993	      1848	800001da	0f0f1437	lui	x8,0xf0f1	  x8=0x0f0f1000
          39013	      1849	800001de	f0f40413	addi	x8,x8,-241	  x8:0x0f0f1000  x8=0x0f0f0f0f
          39133	      1855	800001e2	3a241073	csrrw	x0,pmpcfg2,x8	  x8:0x0f0f0f0f  x0=0x00000000
          39193	      1858	800001e6	00003417	auipc	x8,0x3	  x8=0x800031e6
          39353	      1866	800001ea	28a40413	addi	x8,x8,650	  x8:0x800031e6  x8=0x80003470
          39373	      1867	800001ee	ccccd6b7	lui	x13,0xccccd	 x13=0xccccd000
          39393	      1868	800001f2	ccc68693	addi	x13,x13,-820	 x13:0xccccd000 x13=0xcccccccc
          39413	      1869	800001f6	9436	c.add	x8,x13	  x8:0x80003470 x13:0xcccccccc  x8=0x4ccd013c
          39733	      1885	800001f8	8009	c.srli	x8,0x2	  x8:0x4ccd013c  x8=0x1333404f
          40153	      1906	800001fa	3bc41073	csrrw	x0,pmpaddr12,x8	  x8:0x1333404f  x0=0x00000000
          40573	      1927	800001fe	00003417	auipc	x8,0x3	  x8=0x800031fe
          40893	      1943	80000202	27240413	addi	x8,x8,626	  x8:0x800031fe  x8=0x80003470
          41313	      1964	80000206	dddde6b7	lui	x13,0xdddde	 x13=0xdddde000
          41333	      1965	8000020a	ddd68693	addi	x13,x13,-547	 x13:0xdddde000 x13=0xdddddddd
          41353	      1966	8000020e	9436	c.add	x8,x13	  x8:0x80003470 x13:0xdddddddd  x8=0x5dde124d
          41433	      1970	80000210	8009	c.srli	x8,0x2	  x8:0x5dde124d  x8=0x17778493
          41453	      1971	80000212	3bd41073	csrrw	x0,pmpaddr13,x8	  x8:0x17778493  x0=0x00000000
          41513	      1974	80000216	00003417	auipc	x8,0x3	  x8=0x80003216
          41533	      1975	8000021a	25a40413	addi	x8,x8,602	  x8:0x80003216  x8=0x80003470
          41553	      1976	8000021e	eeeef6b7	lui	x13,0xeeeef	 x13=0xeeeef000
          41653	      1981	80000222	eee68693	addi	x13,x13,-274	 x13:0xeeeef000 x13=0xeeeeeeee
          41673	      1982	80000226	9436	c.add	x8,x13	  x8:0x80003470 x13:0xeeeeeeee  x8=0x6eef235e
          41693	      1983	80000228	8009	c.srli	x8,0x2	  x8:0x6eef235e  x8=0x1bbbc8d7
          41713	      1984	8000022a	3be41073	csrrw	x0,pmpaddr14,x8	  x8:0x1bbbc8d7  x0=0x00000000
          42113	      2004	8000022e	00003417	auipc	x8,0x3	  x8=0x8000322e
          42253	      2011	80000232	24240413	addi	x8,x8,578	  x8:0x8000322e  x8=0x80003470
          42273	      2012	80000236	fff00693	addi	x13,x0,-1	  x0:0x00000000 x13=0xffffffff
          42293	      2013	8000023a	9436	c.add	x8,x13	  x8:0x80003470 x13:0xffffffff  x8=0x8000346f
          42473	      2022	8000023c	8009	c.srli	x8,0x2	  x8:0x8000346f  x8=0x20000d1b
          42493	      2023	8000023e	3bf41073	csrrw	x0,pmpaddr15,x8	  x8:0x20000d1b  x0=0x00000000
          42673	      2032	80000242	0f0f1437	lui	x8,0xf0f1	  x8=0x0f0f1000
          42693	      2033	80000246	f0f40413	addi	x8,x8,-241	  x8:0x0f0f1000  x8=0x0f0f0f0f
          42713	      2034	8000024a	3a341073	csrrw	x0,pmpcfg3,x8	  x8:0x0f0f0f0f  x0=0x00000000
          42893	      2043	8000024e	00000697	auipc	x13,0x0	 x13=0x8000024e
          42953	      2046	80000252	05868693	addi	x13,x13,88	 x13:0x8000024e x13=0x800002a6
          42973	      2047	80000256	34169073	csrrw	x0,mepc,x13	 x13:0x800002a6  x0=0x00000000
