case_id,bug_id
case_000001,bug_001
case_000002,bug_001
case_000003,bug_001
case_000004,bug_001
case_000005,bug_001
case_000006,bug_001
case_000007,bug_001
case_000008,bug_001
case_000009,bug_001
case_000010,bug_001
case_000011,bug_001
case_000012,bug_001
case_000013,bug_001
case_000014,bug_001
case_000015,bug_001
case_000016,bug_002
case_000017,bug_002
case_000018,bug_002
case_000019,bug_002
case_000020,bug_002
case_000021,bug_002
case_000022,bug_002
case_000023,bug_002
case_000024,bug_002
case_000025,bug_002
case_000026,bug_002
case_000027,bug_002
case_000028,bug_002
case_000029,bug_002
case_000030,bug_002
case_000031,bug_003
case_000032,bug_003
case_000033,bug_003
case_000034,bug_003
case_000035,bug_003
case_000036,bug_003
case_000037,bug_003
case_000038,bug_003
case_000039,bug_003
case_000040,bug_003
case_000041,bug_003
case_000042,bug_003
case_000043,bug_003
case_000044,bug_003
case_000045,bug_003
case_000046,bug_005
case_000047,bug_005
case_000048,bug_005
case_000049,bug_005
case_000050,bug_005
case_000051,bug_005
case_000052,bug_005
case_000053,bug_005
case_000054,bug_005
case_000055,bug_005
case_000056,bug_005
case_000057,bug_005
case_000058,bug_005
case_000059,bug_005
case_000060,bug_005
case_000061,bug_008
case_000062,bug_008
case_000063,bug_008
case_000064,bug_008
case_000065,bug_008
case_000066,bug_008
case_000067,bug_008
case_000068,bug_008
case_000069,bug_008
case_000070,bug_008
case_000071,bug_008
case_000072,bug_008
case_000073,bug_008
case_000074,bug_008
case_000075,bug_008
case_000076,bug_009
case_000077,bug_009
case_000078,bug_009
case_000079,bug_009
case_000080,bug_009
case_000081,bug_009
case_000082,bug_009
case_000083,bug_009
case_000084,bug_009
case_000085,bug_009
case_000086,bug_009
case_000087,bug_009
case_000088,bug_009
case_000089,bug_009
case_000090,bug_009
case_000091,bug_010
case_000092,bug_010
case_000093,bug_010
case_000094,bug_010
case_000095,bug_010
case_000096,bug_010
case_000097,bug_010
case_000098,bug_010
case_000099,bug_010
case_000100,bug_010
case_000101,bug_010
case_000102,bug_010
case_000103,bug_010
case_000104,bug_010
case_000105,bug_010
case_000106,bug_011
case_000107,bug_011
case_000108,bug_011
case_000109,bug_011
case_000110,bug_011
case_000111,bug_011
case_000112,bug_011
case_000113,bug_011
case_000114,bug_011
case_000115,bug_011
case_000116,bug_011
case_000117,bug_011
case_000118,bug_011
case_000119,bug_011
case_000120,bug_011
case_000121,bug_012
case_000122,bug_012
case_000123,bug_012
case_000124,bug_012
case_000125,bug_012
case_000126,bug_012
case_000127,bug_012
case_000128,bug_012
case_000129,bug_012
case_000130,bug_012
case_000131,bug_012
case_000132,bug_012
case_000133,bug_012
case_000134,bug_012
case_000135,bug_012
case_000136,bug_013
case_000137,bug_013
case_000138,bug_013
case_000139,bug_013
case_000140,bug_013
case_000141,bug_013
case_000142,bug_013
case_000143,bug_013
case_000144,bug_013
case_000145,bug_013
case_000146,bug_013
case_000147,bug_013
case_000148,bug_013
case_000149,bug_013
case_000150,bug_013
case_000151,bug_014
case_000152,bug_014
case_000153,bug_014
case_000154,bug_014
case_000155,bug_014
case_000156,bug_014
case_000157,bug_014
case_000158,bug_014
case_000159,bug_014
case_000160,bug_014
case_000161,bug_014
case_000162,bug_014
case_000163,bug_014
case_000164,bug_014
case_000165,bug_014
case_000166,bug_015
case_000167,bug_015
case_000168,bug_015
case_000169,bug_015
case_000170,bug_015
case_000171,bug_015
case_000172,bug_015
case_000173,bug_015
case_000174,bug_015
case_000175,bug_015
case_000176,bug_015
case_000177,bug_015
case_000178,bug_015
case_000179,bug_015
case_000180,bug_015
case_000181,bug_016
case_000182,bug_016
case_000183,bug_016
case_000184,bug_016
case_000185,bug_016
case_000186,bug_016
case_000187,bug_016
case_000188,bug_016
case_000189,bug_016
case_000190,bug_016
case_000191,bug_016
case_000192,bug_016
case_000193,bug_016
case_000194,bug_016
case_000195,bug_016
case_000196,bug_017
case_000197,bug_017
case_000198,bug_017
case_000199,bug_017
case_000200,bug_017
case_000201,bug_017
case_000202,bug_017
case_000203,bug_017
case_000204,bug_017
case_000205,bug_017
case_000206,bug_017
case_000207,bug_017
case_000208,bug_017
case_000209,bug_017
case_000210,bug_017
case_000211,bug_018
case_000212,bug_018
case_000213,bug_018
case_000214,bug_018
case_000215,bug_018
case_000216,bug_018
case_000217,bug_018
case_000218,bug_018
case_000219,bug_018
case_000220,bug_018
case_000221,bug_018
case_000222,bug_018
case_000223,bug_018
case_000224,bug_018
case_000225,bug_018
case_000226,bug_019
case_000227,bug_019
case_000228,bug_019
case_000229,bug_019
case_000230,bug_019
case_000231,bug_019
case_000232,bug_019
case_000233,bug_019
case_000234,bug_019
case_000235,bug_019
case_000236,bug_019
case_000237,bug_019
case_000238,bug_019
case_000239,bug_019
case_000240,bug_019
