Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2194	         8	80000080	40001837	lui	x16,0x40001	 x16=0x40001000
           2394	        18	80000084	10680813	addi	x16,x16,262	 x16:0x40001000 x16=0x40001106
           2414	        19	80000088	30181073	csrrw	x0,misa,x16	 x16:0x40001106  x0=0x00000000
           2474	        22	8000008c	00026f97	auipc	x31,0x26	 x31=0x8002608c
           2854	        41	80000090	c58f8f93	addi	x31,x31,-936	 x31:0x8002608c x31=0x80025ce4
           3034	        50	80000094	00002817	auipc	x16,0x2	 x16=0x80002094
           3234	        60	80000098	76c80813	addi	x16,x16,1900	 x16:0x80002094 x16=0x80002800
           3494	        73	8000009c	00186813	ori	x16,x16,1	 x16:0x80002800 x16=0x80002801
           3574	        77	800000a0	30581073	csrrw	x0,mtvec,x16	 x16:0x80002801  x0=0x00000000
           3634	        80	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3694	        83	800000a8	00003d17	auipc	x26,0x3	 x26=0x800030a8
           3754	        86	800000ac	544d0d13	addi	x26,x26,1348	 x26:0x800030a8 x26=0x800035ec
           3774	        87	800000b0	4801	c.li	x16,0	 x16=0x00000000
           3794	        88	800000b2	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x00000000 x26=0x800035ec
           4154	       106	800000b4	002d5d13	srli	x26,x26,0x2	 x26:0x800035ec x26=0x20000d7b
           4174	       107	800000b8	3b0d1073	csrrw	x0,pmpaddr0,x26	 x26:0x20000d7b  x0=0x00000000
           4234	       110	800000bc	00003d17	auipc	x26,0x3	 x26=0x800030bc
           4254	       111	800000c0	530d0d13	addi	x26,x26,1328	 x26:0x800030bc x26=0x800035ec
           4274	       112	800000c4	11111837	lui	x16,0x11111	 x16=0x11111000
           4354	       116	800000c8	11180813	addi	x16,x16,273	 x16:0x11111000 x16=0x11111111
           4494	       123	800000cc	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x11111111 x26=0x911146fd
           4674	       132	800000ce	002d5d13	srli	x26,x26,0x2	 x26:0x911146fd x26=0x244451bf
           4694	       133	800000d2	3b1d1073	csrrw	x0,pmpaddr1,x26	 x26:0x244451bf  x0=0x00000000
           4754	       136	800000d6	00003d17	auipc	x26,0x3	 x26=0x800030d6
           4774	       137	800000da	516d0d13	addi	x26,x26,1302	 x26:0x800030d6 x26=0x800035ec
           4794	       138	800000de	22222837	lui	x16,0x22222	 x16=0x22222000
           4834	       140	800000e2	22280813	addi	x16,x16,546	 x16:0x22222000 x16=0x22222222
           4854	       141	800000e6	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x22222222 x26=0xa222580e
           4874	       142	800000e8	002d5d13	srli	x26,x26,0x2	 x26:0xa222580e x26=0x28889603
           5034	       150	800000ec	3b2d1073	csrrw	x0,pmpaddr2,x26	 x26:0x28889603  x0=0x00000000
           5094	       153	800000f0	00003d17	auipc	x26,0x3	 x26=0x800030f0
           5334	       165	800000f4	4fcd0d13	addi	x26,x26,1276	 x26:0x800030f0 x26=0x800035ec
           5354	       166	800000f8	33333837	lui	x16,0x33333	 x16=0x33333000
           5394	       168	800000fc	33380813	addi	x16,x16,819	 x16:0x33333000 x16=0x33333333
           5594	       178	80000100	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x33333333 x26=0xb333691f
           5614	       179	80000102	002d5d13	srli	x26,x26,0x2	 x26:0xb333691f x26=0x2cccda47
           5634	       180	80000106	3b3d1073	csrrw	x0,pmpaddr3,x26	 x26:0x2cccda47  x0=0x00000000
           5694	       183	8000010a	0f0f1d37	lui	x26,0xf0f1	 x26=0x0f0f1000
           5714	       184	8000010e	f0fd0d13	addi	x26,x26,-241	 x26:0x0f0f1000 x26=0x0f0f0f0f
           5814	       189	80000112	3a0d1073	csrrw	x0,pmpcfg0,x26	 x26:0x0f0f0f0f  x0=0x00000000
           5874	       192	80000116	00003d17	auipc	x26,0x3	 x26=0x80003116
           5894	       193	8000011a	4d6d0d13	addi	x26,x26,1238	 x26:0x80003116 x26=0x800035ec
           5914	       194	8000011e	44444837	lui	x16,0x44444	 x16=0x44444000
           5934	       195	80000122	44480813	addi	x16,x16,1092	 x16:0x44444000 x16=0x44444444
           5954	       196	80000126	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x44444444 x26=0xc4447a30
           5974	       197	80000128	002d5d13	srli	x26,x26,0x2	 x26:0xc4447a30 x26=0x31111e8c
           5994	       198	8000012c	3b4d1073	csrrw	x0,pmpaddr4,x26	 x26:0x31111e8c  x0=0x00000000
           6054	       201	80000130	00003d17	auipc	x26,0x3	 x26=0x80003130
           6134	       205	80000134	4bcd0d13	addi	x26,x26,1212	 x26:0x80003130 x26=0x800035ec
           6154	       206	80000138	55555837	lui	x16,0x55555	 x16=0x55555000
           6234	       210	8000013c	55580813	addi	x16,x16,1365	 x16:0x55555000 x16=0x55555555
           6514	       224	80000140	9d42	c.add	x26,x16	 x26:0x800035ec x16:0x55555555 x26=0xd5558b41
           6534	       225	80000142	002d5d13	srli	x26,x26,0x2	 x26:0xd5558b41 x26=0x355562d0
           6554	       226	80000146	3b5d1073	csrrw	x0,pmpaddr5,x26	 x26:0x355562d0  x0=0x00000000
           6834	       240	8000014a	00003d17	auipc	x26,0x3	 x26=0x8000314a
           6854	       241	8000014e	4a2d0d13	addi	x26,x26,1186	 x26:0x8000314a x26=0x800035ec
           6874	       242	80000152	66666837	lui	x16,0x66666	 x16=0x66666000
           6894	       243	80000156	66680813	addi	x16,x16,1638	 x16:0x66666000 x16=0x66666666
