Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          14713	       634	80000080	40001b37	lui	x22,0x40001	 x22=0x40001000
          14733	       635	80000084	106b0b13	addi	x22,x22,262	 x22:0x40001000 x22=0x40001106
          14793	       638	80000088	301b1073	csrrw	x0,misa,x22	 x22:0x40001106  x0=0x00000000
          14853	       641	8000008c	00026997	auipc	x19,0x26	 x19=0x8002608c
          14873	       642	80000090	c5898993	addi	x19,x19,-936	 x19:0x8002608c x19=0x80025ce4
          14893	       643	80000094	00002b17	auipc	x22,0x2	 x22=0x80002094
          15313	       664	80000098	46cb0b13	addi	x22,x22,1132	 x22:0x80002094 x22=0x80002500
          15353	       666	8000009c	001b6b13	ori	x22,x22,1	 x22:0x80002500 x22=0x80002501
          15393	       668	800000a0	305b1073	csrrw	x0,mtvec,x22	 x22:0x80002501  x0=0x00000000
          15733	       685	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          15793	       688	800000a8	00003e97	auipc	x29,0x3	 x29=0x800030a8
          15813	       689	800000ac	1d4e8e93	addi	x29,x29,468	 x29:0x800030a8 x29=0x8000327c
          15833	       690	800000b0	4b01	c.li	x22,0	 x22=0x00000000
          15853	       691	800000b2	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x00000000 x29=0x8000327c
          15873	       692	800000b4	002ede93	srli	x29,x29,0x2	 x29:0x8000327c x29=0x20000c9f
          15893	       693	800000b8	3b0e9073	csrrw	x0,pmpaddr0,x29	 x29:0x20000c9f  x0=0x00000000
          15953	       696	800000bc	00003e97	auipc	x29,0x3	 x29=0x800030bc
          15973	       697	800000c0	1c0e8e93	addi	x29,x29,448	 x29:0x800030bc x29=0x8000327c
          16073	       702	800000c4	11111b37	lui	x22,0x11111	 x22=0x11111000
          16093	       703	800000c8	111b0b13	addi	x22,x22,273	 x22:0x11111000 x22=0x11111111
          16113	       704	800000cc	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x11111111 x29=0x9111438d
          16593	       728	800000ce	002ede93	srli	x29,x29,0x2	 x29:0x9111438d x29=0x244450e3
          16793	       738	800000d2	3b1e9073	csrrw	x0,pmpaddr1,x29	 x29:0x244450e3  x0=0x00000000
          16853	       741	800000d6	00003e97	auipc	x29,0x3	 x29=0x800030d6
          16873	       742	800000da	1a6e8e93	addi	x29,x29,422	 x29:0x800030d6 x29=0x8000327c
          16893	       743	800000de	22222b37	lui	x22,0x22222	 x22=0x22222000
          17273	       762	800000e2	222b0b13	addi	x22,x22,546	 x22:0x22222000 x22=0x22222222
          17293	       763	800000e6	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x22222222 x29=0xa222549e
          17353	       766	800000e8	002ede93	srli	x29,x29,0x2	 x29:0xa222549e x29=0x28889527
          17493	       773	800000ec	3b2e9073	csrrw	x0,pmpaddr2,x29	 x29:0x28889527  x0=0x00000000
          17553	       776	800000f0	00003e97	auipc	x29,0x3	 x29=0x800030f0
          17573	       777	800000f4	18ce8e93	addi	x29,x29,396	 x29:0x800030f0 x29=0x8000327c
          17833	       790	800000f8	33333b37	lui	x22,0x33333	 x22=0x33333000
          17853	       791	800000fc	333b0b13	addi	x22,x22,819	 x22:0x33333000 x22=0x33333333
          17873	       792	80000100	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x33333333 x29=0xb33365af
          17893	       793	80000102	002ede93	srli	x29,x29,0x2	 x29:0xb33365af x29=0x2cccd96b
          17913	       794	80000106	3b3e9073	csrrw	x0,pmpaddr3,x29	 x29:0x2cccd96b  x0=0x00000000
          18173	       807	8000010a	0f0f1eb7	lui	x29,0xf0f1	 x29=0x0f0f1000
          18593	       828	8000010e	f0fe8e93	addi	x29,x29,-241	 x29:0x0f0f1000 x29=0x0f0f0f0f
          18613	       829	80000112	3a0e9073	csrrw	x0,pmpcfg0,x29	 x29:0x0f0f0f0f  x0=0x00000000
          18793	       838	80000116	00003e97	auipc	x29,0x3	 x29=0x80003116
          19073	       852	8000011a	166e8e93	addi	x29,x29,358	 x29:0x80003116 x29=0x8000327c
          19093	       853	8000011e	44444b37	lui	x22,0x44444	 x22=0x44444000
          19113	       854	80000122	444b0b13	addi	x22,x22,1092	 x22:0x44444000 x22=0x44444444
          19133	       855	80000126	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x44444444 x29=0xc44476c0
          19153	       856	80000128	002ede93	srli	x29,x29,0x2	 x29:0xc44476c0 x29=0x31111db0
          19173	       857	8000012c	3b4e9073	csrrw	x0,pmpaddr4,x29	 x29:0x31111db0  x0=0x00000000
          19233	       860	80000130	00003e97	auipc	x29,0x3	 x29=0x80003130
          19313	       864	80000134	14ce8e93	addi	x29,x29,332	 x29:0x80003130 x29=0x8000327c
          19573	       877	80000138	55555b37	lui	x22,0x55555	 x22=0x55555000
          19673	       882	8000013c	555b0b13	addi	x22,x22,1365	 x22:0x55555000 x22=0x55555555
          19693	       883	80000140	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x55555555 x29=0xd55587d1
          20113	       904	80000142	002ede93	srli	x29,x29,0x2	 x29:0xd55587d1 x29=0x355561f4
          20233	       910	80000146	3b5e9073	csrrw	x0,pmpaddr5,x29	 x29:0x355561f4  x0=0x00000000
          20293	       913	8000014a	00003e97	auipc	x29,0x3	 x29=0x8000314a
          20673	       932	8000014e	132e8e93	addi	x29,x29,306	 x29:0x8000314a x29=0x8000327c
          20693	       933	80000152	66666b37	lui	x22,0x66666	 x22=0x66666000
          20753	       936	80000156	666b0b13	addi	x22,x22,1638	 x22:0x66666000 x22=0x66666666
          20773	       937	8000015a	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x66666666 x29=0xe66698e2
          20913	       944	8000015c	002ede93	srli	x29,x29,0x2	 x29:0xe66698e2 x29=0x3999a638
          20953	       946	80000160	3b6e9073	csrrw	x0,pmpaddr6,x29	 x29:0x3999a638  x0=0x00000000
          21373	       967	80000164	00003e97	auipc	x29,0x3	 x29=0x80003164
          21393	       968	80000168	118e8e93	addi	x29,x29,280	 x29:0x80003164 x29=0x8000327c
          21413	       969	8000016c	77777b37	lui	x22,0x77777	 x22=0x77777000
          21633	       980	80000170	777b0b13	addi	x22,x22,1911	 x22:0x77777000 x22=0x77777777
          21813	       989	80000174	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x77777777 x29=0xf777a9f3
          21833	       990	80000176	002ede93	srli	x29,x29,0x2	 x29:0xf777a9f3 x29=0x3dddea7c
          21913	       994	8000017a	3b7e9073	csrrw	x0,pmpaddr7,x29	 x29:0x3dddea7c  x0=0x00000000
          22153	      1006	8000017e	0f0f1eb7	lui	x29,0xf0f1	 x29=0x0f0f1000
          22453	      1021	80000182	f0fe8e93	addi	x29,x29,-241	 x29:0x0f0f1000 x29=0x0f0f0f0f
          22653	      1031	80000186	3a1e9073	csrrw	x0,pmpcfg1,x29	 x29:0x0f0f0f0f  x0=0x00000000
          22853	      1041	8000018a	00003e97	auipc	x29,0x3	 x29=0x8000318a
          23213	      1059	8000018e	0f2e8e93	addi	x29,x29,242	 x29:0x8000318a x29=0x8000327c
          23533	      1075	80000192	88889b37	lui	x22,0x88889	 x22=0x88889000
          23633	      1080	80000196	888b0b13	addi	x22,x22,-1912	 x22:0x88889000 x22=0x88888888
          23653	      1081	8000019a	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x88888888 x29=0x0888bb04
          23673	      1082	8000019c	002ede93	srli	x29,x29,0x2	 x29:0x0888bb04 x29=0x02222ec1
          23693	      1083	800001a0	3b8e9073	csrrw	x0,pmpaddr8,x29	 x29:0x02222ec1  x0=0x00000000
          24113	      1104	800001a4	00003e97	auipc	x29,0x3	 x29=0x800031a4
          24133	      1105	800001a8	0d8e8e93	addi	x29,x29,216	 x29:0x800031a4 x29=0x8000327c
          24313	      1114	800001ac	9999ab37	lui	x22,0x9999a	 x22=0x9999a000
          24353	      1116	800001b0	999b0b13	addi	x22,x22,-1639	 x22:0x9999a000 x22=0x99999999
          24373	      1117	800001b4	9eda	c.add	x29,x22	 x29:0x8000327c x22:0x99999999 x29=0x1999cc15
          24793	      1138	800001b6	002ede93	srli	x29,x29,0x2	 x29:0x1999cc15 x29=0x06667305
          24913	      1144	800001ba	3b9e9073	csrrw	x0,pmpaddr9,x29	 x29:0x06667305  x0=0x00000000
          24973	      1147	800001be	00003e97	auipc	x29,0x3	 x29=0x800031be
          24993	      1148	800001c2	0bee8e93	addi	x29,x29,190	 x29:0x800031be x29=0x8000327c
          25073	      1152	800001c6	aaaabb37	lui	x22,0xaaaab	 x22=0xaaaab000
          25273	      1162	800001ca	aaab0b13	addi	x22,x22,-1366	 x22:0xaaaab000 x22=0xaaaaaaaa
          25293	      1163	800001ce	9eda	c.add	x29,x22	 x29:0x8000327c x22:0xaaaaaaaa x29=0x2aaadd26
          25313	      1164	800001d0	002ede93	srli	x29,x29,0x2	 x29:0x2aaadd26 x29=0x0aaab749
          25713	      1184	800001d4	3bae9073	csrrw	x0,pmpaddr10,x29	 x29:0x0aaab749  x0=0x00000000
          26133	      1205	800001d8	00003e97	auipc	x29,0x3	 x29=0x800031d8
          26153	      1206	800001dc	0a4e8e93	addi	x29,x29,164	 x29:0x800031d8 x29=0x8000327c
          26573	      1227	800001e0	bbbbcb37	lui	x22,0xbbbbc	 x22=0xbbbbc000
          26833	      1240	800001e4	bbbb0b13	addi	x22,x22,-1093	 x22:0xbbbbc000 x22=0xbbbbbbbb
          26933	      1245	800001e8	9eda	c.add	x29,x22	 x29:0x8000327c x22:0xbbbbbbbb x29=0x3bbbee37
          27353	      1266	800001ea	002ede93	srli	x29,x29,0x2	 x29:0x3bbbee37 x29=0x0eeefb8d
          27373	      1267	800001ee	3bbe9073	csrrw	x0,pmpaddr11,x29	 x29:0x0eeefb8d  x0=0x00000000
          27433	      1270	800001f2	0f0f1eb7	lui	x29,0xf0f1	 x29=0x0f0f1000
          27813	      1289	800001f6	f0fe8e93	addi	x29,x29,-241	 x29:0x0f0f1000 x29=0x0f0f0f0f
          27833	      1290	800001fa	3a2e9073	csrrw	x0,pmpcfg2,x29	 x29:0x0f0f0f0f  x0=0x00000000
          27893	      1293	800001fe	00003e97	auipc	x29,0x3	 x29=0x800031fe
          27913	      1294	80000202	07ee8e93	addi	x29,x29,126	 x29:0x800031fe x29=0x8000327c
          28033	      1300	80000206	ccccdb37	lui	x22,0xccccd	 x22=0xccccd000
          28173	      1307	8000020a	cccb0b13	addi	x22,x22,-820	 x22:0xccccd000 x22=0xcccccccc
          28193	      1308	8000020e	9eda	c.add	x29,x22	 x29:0x8000327c x22:0xcccccccc x29=0x4cccff48
          28213	      1309	80000210	002ede93	srli	x29,x29,0x2	 x29:0x4cccff48 x29=0x13333fd2
          28613	      1329	80000214	3bce9073	csrrw	x0,pmpaddr12,x29	 x29:0x13333fd2  x0=0x00000000
          28813	      1339	80000218	00003e97	auipc	x29,0x3	 x29=0x80003218
          28973	      1347	8000021c	064e8e93	addi	x29,x29,100	 x29:0x80003218 x29=0x8000327c
          29073	      1352	80000220	ddddeb37	lui	x22,0xdddde	 x22=0xdddde000
