case_id,bug_id,group,family,test,seed,source_run_dir
case_000001,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,101,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000101
case_000002,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,102,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000102
case_000003,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,103,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000103
case_000004,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,104,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000104
case_000005,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,105,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000105
case_000006,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,501,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000501
case_000007,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,502,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000502
case_000008,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,503,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000503
case_000009,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,504,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000504
case_000010,bug_001,alu,alu_add_sub_result_wrong,riscv_machine_mode_rand_test,505,/home/meow/iccad/dataset/raw_runs_first_batch/bug_001/riscv_machine_mode_rand_test/seed_000505
case_000011,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,111,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000111
case_000012,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,112,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000112
case_000013,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,113,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000113
case_000014,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,114,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000114
case_000015,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,115,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000115
case_000016,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,511,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000511
case_000017,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,512,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000512
case_000018,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,513,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000513
case_000019,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,514,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000514
case_000020,bug_002,alu,alu_compare_signedness_wrong,riscv_machine_mode_rand_test,515,/home/meow/iccad/dataset/raw_runs_first_batch/bug_002/riscv_machine_mode_rand_test/seed_000515
case_000021,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,121,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000121
case_000022,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,122,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000122
case_000023,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,123,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000123
case_000024,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,124,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000124
case_000025,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,125,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000125
case_000026,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,521,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000521
case_000027,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,522,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000522
case_000028,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,523,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000523
case_000029,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,524,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000524
case_000030,bug_003,alu,alu_shift_arithmetic_wrong,riscv_machine_mode_rand_test,525,/home/meow/iccad/dataset/raw_runs_first_batch/bug_003/riscv_machine_mode_rand_test/seed_000525
case_000031,bug_005,branch,branch_condition_wrong,riscv_machine_mode_rand_test,141,/home/meow/iccad/dataset/raw_runs_first_batch/bug_005/riscv_machine_mode_rand_test/seed_000141
case_000032,bug_005,branch,branch_condition_wrong,riscv_machine_mode_rand_test,142,/home/meow/iccad/dataset/raw_runs_first_batch/bug_005/riscv_machine_mode_rand_test/seed_000142
