Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          42629	      2029	80000080	40001737	lui	x14,0x40001	 x14=0x40001000
          42829	      2039	80000084	10670713	addi	x14,x14,262	 x14:0x40001000 x14=0x40001106
          42909	      2043	80000088	30171073	csrrw	x0,misa,x14	 x14:0x40001106  x0=0x00000000
          42969	      2046	8000008c	00026997	auipc	x19,0x26	 x19=0x8002608c
          43389	      2067	80000090	c5898993	addi	x19,x19,-936	 x19:0x8002608c x19=0x80025ce4
          43789	      2087	80000094	00002717	auipc	x14,0x2	 x14=0x80002094
          43809	      2088	80000098	46c70713	addi	x14,x14,1132	 x14:0x80002094 x14=0x80002500
          43829	      2089	8000009c	00176713	ori	x14,x14,1	 x14:0x80002500 x14=0x80002501
          44069	      2101	800000a0	30571073	csrrw	x0,mtvec,x14	 x14:0x80002501  x0=0x00000000
          44129	      2104	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          44189	      2107	800000a8	00003d17	auipc	x26,0x3	 x26=0x800030a8
          44209	      2108	800000ac	1c0d0d13	addi	x26,x26,448	 x26:0x800030a8 x26=0x80003268
          44229	      2109	800000b0	4701	c.li	x14,0	 x14=0x00000000
          44249	      2110	800000b2	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x00000000 x26=0x80003268
          44269	      2111	800000b4	002d5d13	srli	x26,x26,0x2	 x26:0x80003268 x26=0x20000c9a
          44669	      2131	800000b8	3b0d1073	csrrw	x0,pmpaddr0,x26	 x26:0x20000c9a  x0=0x00000000
          44729	      2134	800000bc	00003d17	auipc	x26,0x3	 x26=0x800030bc
          45089	      2152	800000c0	1acd0d13	addi	x26,x26,428	 x26:0x800030bc x26=0x80003268
          45149	      2155	800000c4	11111737	lui	x14,0x11111	 x14=0x11111000
          45169	      2156	800000c8	11170713	addi	x14,x14,273	 x14:0x11111000 x14=0x11111111
          45189	      2157	800000cc	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x11111111 x26=0x91114379
          45609	      2178	800000ce	002d5d13	srli	x26,x26,0x2	 x26:0x91114379 x26=0x244450de
          45929	      2194	800000d2	3b1d1073	csrrw	x0,pmpaddr1,x26	 x26:0x244450de  x0=0x00000000
          45989	      2197	800000d6	00003d17	auipc	x26,0x3	 x26=0x800030d6
          46009	      2198	800000da	192d0d13	addi	x26,x26,402	 x26:0x800030d6 x26=0x80003268
          46029	      2199	800000de	22222737	lui	x14,0x22222	 x14=0x22222000
          46049	      2200	800000e2	22270713	addi	x14,x14,546	 x14:0x22222000 x14=0x22222222
          46069	      2201	800000e6	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x22222222 x26=0xa222548a
          46209	      2208	800000e8	002d5d13	srli	x26,x26,0x2	 x26:0xa222548a x26=0x28889522
          46289	      2212	800000ec	3b2d1073	csrrw	x0,pmpaddr2,x26	 x26:0x28889522  x0=0x00000000
          46349	      2215	800000f0	00003d17	auipc	x26,0x3	 x26=0x800030f0
          46369	      2216	800000f4	178d0d13	addi	x26,x26,376	 x26:0x800030f0 x26=0x80003268
          46389	      2217	800000f8	33333737	lui	x14,0x33333	 x14=0x33333000
          46409	      2218	800000fc	33370713	addi	x14,x14,819	 x14:0x33333000 x14=0x33333333
          46489	      2222	80000100	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x33333333 x26=0xb333659b
          46669	      2231	80000102	002d5d13	srli	x26,x26,0x2	 x26:0xb333659b x26=0x2cccd966
          46689	      2232	80000106	3b3d1073	csrrw	x0,pmpaddr3,x26	 x26:0x2cccd966  x0=0x00000000
          46749	      2235	8000010a	0f0f1d37	lui	x26,0xf0f1	 x26=0x0f0f1000
          46769	      2236	8000010e	f0fd0d13	addi	x26,x26,-241	 x26:0x0f0f1000 x26=0x0f0f0f0f
          46789	      2237	80000112	3a0d1073	csrrw	x0,pmpcfg0,x26	 x26:0x0f0f0f0f  x0=0x00000000
          46969	      2246	80000116	00003d17	auipc	x26,0x3	 x26=0x80003116
          47369	      2266	8000011a	152d0d13	addi	x26,x26,338	 x26:0x80003116 x26=0x80003268
          47529	      2274	8000011e	44444737	lui	x14,0x44444	 x14=0x44444000
          47549	      2275	80000122	44470713	addi	x14,x14,1092	 x14:0x44444000 x14=0x44444444
          47569	      2276	80000126	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x44444444 x26=0xc44476ac
          47589	      2277	80000128	002d5d13	srli	x26,x26,0x2	 x26:0xc44476ac x26=0x31111dab
          47749	      2285	8000012c	3b4d1073	csrrw	x0,pmpaddr4,x26	 x26:0x31111dab  x0=0x00000000
          47809	      2288	80000130	00003d17	auipc	x26,0x3	 x26=0x80003130
          47829	      2289	80000134	138d0d13	addi	x26,x26,312	 x26:0x80003130 x26=0x80003268
          48209	      2308	80000138	55555737	lui	x14,0x55555	 x14=0x55555000
          48229	      2309	8000013c	55570713	addi	x14,x14,1365	 x14:0x55555000 x14=0x55555555
          48329	      2314	80000140	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x55555555 x26=0xd55587bd
          48749	      2335	80000142	002d5d13	srli	x26,x26,0x2	 x26:0xd55587bd x26=0x355561ef
          49169	      2356	80000146	3b5d1073	csrrw	x0,pmpaddr5,x26	 x26:0x355561ef  x0=0x00000000
          49229	      2359	8000014a	00003d17	auipc	x26,0x3	 x26=0x8000314a
          49269	      2361	8000014e	11ed0d13	addi	x26,x26,286	 x26:0x8000314a x26=0x80003268
          49289	      2362	80000152	66666737	lui	x14,0x66666	 x14=0x66666000
          49309	      2363	80000156	66670713	addi	x14,x14,1638	 x14:0x66666000 x14=0x66666666
          49329	      2364	8000015a	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x66666666 x26=0xe66698ce
          49349	      2365	8000015c	002d5d13	srli	x26,x26,0x2	 x26:0xe66698ce x26=0x3999a633
          49549	      2375	80000160	3b6d1073	csrrw	x0,pmpaddr6,x26	 x26:0x3999a633  x0=0x00000000
          49609	      2378	80000164	00003d17	auipc	x26,0x3	 x26=0x80003164
          49629	      2379	80000168	104d0d13	addi	x26,x26,260	 x26:0x80003164 x26=0x80003268
          49649	      2380	8000016c	77777737	lui	x14,0x77777	 x14=0x77777000
          49669	      2381	80000170	77770713	addi	x14,x14,1911	 x14:0x77777000 x14=0x77777777
          49749	      2385	80000174	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x77777777 x26=0xf777a9df
          49849	      2390	80000176	002d5d13	srli	x26,x26,0x2	 x26:0xf777a9df x26=0x3dddea77
          49869	      2391	8000017a	3b7d1073	csrrw	x0,pmpaddr7,x26	 x26:0x3dddea77  x0=0x00000000
          49929	      2394	8000017e	0f0f1d37	lui	x26,0xf0f1	 x26=0x0f0f1000
          49949	      2395	80000182	f0fd0d13	addi	x26,x26,-241	 x26:0x0f0f1000 x26=0x0f0f0f0f
          50089	      2402	80000186	3a1d1073	csrrw	x0,pmpcfg1,x26	 x26:0x0f0f0f0f  x0=0x00000000
          50149	      2405	8000018a	00003d17	auipc	x26,0x3	 x26=0x8000318a
          50169	      2406	8000018e	0ded0d13	addi	x26,x26,222	 x26:0x8000318a x26=0x80003268
          50189	      2407	80000192	88889737	lui	x14,0x88889	 x14=0x88889000
          50369	      2416	80000196	88870713	addi	x14,x14,-1912	 x14:0x88889000 x14=0x88888888
          50389	      2417	8000019a	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x88888888 x26=0x0888baf0
          50409	      2418	8000019c	002d5d13	srli	x26,x26,0x2	 x26:0x0888baf0 x26=0x02222ebc
          50569	      2426	800001a0	3b8d1073	csrrw	x0,pmpaddr8,x26	 x26:0x02222ebc  x0=0x00000000
          50629	      2429	800001a4	00003d17	auipc	x26,0x3	 x26=0x800031a4
          50649	      2430	800001a8	0c4d0d13	addi	x26,x26,196	 x26:0x800031a4 x26=0x80003268
          50769	      2436	800001ac	9999a737	lui	x14,0x9999a	 x14=0x9999a000
          50789	      2437	800001b0	99970713	addi	x14,x14,-1639	 x14:0x9999a000 x14=0x99999999
          50809	      2438	800001b4	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0x99999999 x26=0x1999cc01
          50869	      2441	800001b6	002d5d13	srli	x26,x26,0x2	 x26:0x1999cc01 x26=0x06667300
          50889	      2442	800001ba	3b9d1073	csrrw	x0,pmpaddr9,x26	 x26:0x06667300  x0=0x00000000
          50949	      2445	800001be	00003d17	auipc	x26,0x3	 x26=0x800031be
          50969	      2446	800001c2	0aad0d13	addi	x26,x26,170	 x26:0x800031be x26=0x80003268
          50989	      2447	800001c6	aaaab737	lui	x14,0xaaaab	 x14=0xaaaab000
          51029	      2449	800001ca	aaa70713	addi	x14,x14,-1366	 x14:0xaaaab000 x14=0xaaaaaaaa
          51049	      2450	800001ce	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xaaaaaaaa x26=0x2aaadd12
          51529	      2474	800001d0	002d5d13	srli	x26,x26,0x2	 x26:0x2aaadd12 x26=0x0aaab744
          51549	      2475	800001d4	3bad1073	csrrw	x0,pmpaddr10,x26	 x26:0x0aaab744  x0=0x00000000
          51609	      2478	800001d8	00003d17	auipc	x26,0x3	 x26=0x800031d8
          51989	      2497	800001dc	090d0d13	addi	x26,x26,144	 x26:0x800031d8 x26=0x80003268
          52009	      2498	800001e0	bbbbc737	lui	x14,0xbbbbc	 x14=0xbbbbc000
          52089	      2502	800001e4	bbb70713	addi	x14,x14,-1093	 x14:0xbbbbc000 x14=0xbbbbbbbb
          52109	      2503	800001e8	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xbbbbbbbb x26=0x3bbbee23
          52209	      2508	800001ea	002d5d13	srli	x26,x26,0x2	 x26:0x3bbbee23 x26=0x0eeefb88
          52289	      2512	800001ee	3bbd1073	csrrw	x0,pmpaddr11,x26	 x26:0x0eeefb88  x0=0x00000000
          52709	      2533	800001f2	0f0f1d37	lui	x26,0xf0f1	 x26=0x0f0f1000
          52889	      2542	800001f6	f0fd0d13	addi	x26,x26,-241	 x26:0x0f0f1000 x26=0x0f0f0f0f
          52909	      2543	800001fa	3a2d1073	csrrw	x0,pmpcfg2,x26	 x26:0x0f0f0f0f  x0=0x00000000
          52969	      2546	800001fe	00003d17	auipc	x26,0x3	 x26=0x800031fe
          53349	      2565	80000202	06ad0d13	addi	x26,x26,106	 x26:0x800031fe x26=0x80003268
          53429	      2569	80000206	ccccd737	lui	x14,0xccccd	 x14=0xccccd000
          53509	      2573	8000020a	ccc70713	addi	x14,x14,-820	 x14:0xccccd000 x14=0xcccccccc
          53529	      2574	8000020e	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xcccccccc x26=0x4cccff34
          53609	      2578	80000210	002d5d13	srli	x26,x26,0x2	 x26:0x4cccff34 x26=0x13333fcd
          53629	      2579	80000214	3bcd1073	csrrw	x0,pmpaddr12,x26	 x26:0x13333fcd  x0=0x00000000
          53689	      2582	80000218	00003d17	auipc	x26,0x3	 x26=0x80003218
          54069	      2601	8000021c	050d0d13	addi	x26,x26,80	 x26:0x80003218 x26=0x80003268
          54089	      2602	80000220	dddde737	lui	x14,0xdddde	 x14=0xdddde000
          54169	      2606	80000224	ddd70713	addi	x14,x14,-547	 x14:0xdddde000 x14=0xdddddddd
          54589	      2627	80000228	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xdddddddd x26=0x5dde1045
          54609	      2628	8000022a	002d5d13	srli	x26,x26,0x2	 x26:0x5dde1045 x26=0x17778411
          54629	      2629	8000022e	3bdd1073	csrrw	x0,pmpaddr13,x26	 x26:0x17778411  x0=0x00000000
          54809	      2638	80000232	00003d17	auipc	x26,0x3	 x26=0x80003232
          54929	      2644	80000236	036d0d13	addi	x26,x26,54	 x26:0x80003232 x26=0x80003268
          54949	      2645	8000023a	eeeef737	lui	x14,0xeeeef	 x14=0xeeeef000
          54969	      2646	8000023e	eee70713	addi	x14,x14,-274	 x14:0xeeeef000 x14=0xeeeeeeee
          54989	      2647	80000242	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xeeeeeeee x26=0x6eef2156
          55089	      2652	80000244	002d5d13	srli	x26,x26,0x2	 x26:0x6eef2156 x26=0x1bbbc855
          55109	      2653	80000248	3bed1073	csrrw	x0,pmpaddr14,x26	 x26:0x1bbbc855  x0=0x00000000
          55169	      2656	8000024c	00003d17	auipc	x26,0x3	 x26=0x8000324c
          55189	      2657	80000250	01cd0d13	addi	x26,x26,28	 x26:0x8000324c x26=0x80003268
          55209	      2658	80000254	fff00713	addi	x14,x0,-1	  x0:0x00000000 x14=0xffffffff
          55229	      2659	80000258	9d3a	c.add	x26,x14	 x26:0x80003268 x14:0xffffffff x26=0x80003267
          55249	      2660	8000025a	002d5d13	srli	x26,x26,0x2	 x26:0x80003267 x26=0x20000c99
          55409	      2668	8000025e	3bfd1073	csrrw	x0,pmpaddr15,x26	 x26:0x20000c99  x0=0x00000000
          55469	      2671	80000262	0f0f1d37	lui	x26,0xf0f1	 x26=0x0f0f1000
          55489	      2672	80000266	f0fd0d13	addi	x26,x26,-241	 x26:0x0f0f1000 x26=0x0f0f0f0f
          55509	      2673	8000026a	3a3d1073	csrrw	x0,pmpcfg3,x26	 x26:0x0f0f0f0f  x0=0x00000000
          55889	      2692	8000026e	00000717	auipc	x14,0x0	 x14=0x8000026e
          55909	      2693	80000272	06070713	addi	x14,x14,96	 x14:0x8000026e x14=0x800002ce
          56329	      2714	80000276	34171073	csrrw	x0,mepc,x14	 x14:0x800002ce  x0=0x00000000
          56349	      2715	8000027a	7c00d073	csrrwi	x0,0x7c0,1	  x0=0x00000000
          56409	      2718	8000027e	4701	c.li	x14,0	 x14=0x00000000
          56509	      2723	80000280	30071073	csrrw	x0,mstatus,x14	 x14:0x00000000  x0=0x00000000
          56569	      2726	80000284	4701	c.li	x14,0	 x14=0x00000000
          56589	      2727	80000286	30471073	csrrw	x0,mie,x14	 x14:0x00000000  x0=0x00000000
          56649	      2730	8000028a	90000b37	lui	x22,0x90000	 x22=0x90000000
          56669	      2731	8000028e	1b71	c.addi	x22,-4	 x22:0x90000000 x22=0x8ffffffc
          56689	      2732	80000290	90000b37	lui	x22,0x90000	 x22=0x90000000
          56709	      2733	80000294	1b71	c.addi	x22,-4	 x22:0x90000000 x22=0x8ffffffc
          56729	      2734	80000296	90000b37	lui	x22,0x90000	 x22=0x90000000
          56749	      2735	8000029a	1b71	c.addi	x22,-4	 x22:0x90000000 x22=0x8ffffffc
          57089	      2752	8000029c	30000713	addi	x14,x0,768	  x0:0x00000000 x14=0x00000300
          57129	      2754	800002a0	0722	c.slli	x14,0x8	 x14:0x00000300 x14=0x00030000
          57149	      2755	800002a2	070d	c.addi	x14,3	 x14:0x00030000 x14=0x00030003
          57269	      2761	800002a4	00eb2023	sw	x14,0(x22)	 x22:0x8ffffffc x14:0x00030003 PA:0x8ffffffc store:0x00030003
          57289	      2762	800002a8	30002773	csrrs	x14,mstatus,x0	  x0:0x00000000 x14=0x00000000
          57429	      2769	800002ac	00eb2023	sw	x14,0(x22)	 x22:0x8ffffffc x14:0x00000000 PA:0x8ffffffc store:0x00000000
          57809	      2788	800002b0	90000b37	lui	x22,0x90000	 x22=0x90000000
          57829	      2789	800002b4	1b71	c.addi	x22,-4	 x22:0x90000000 x22=0x8ffffffc
          57849	      2790	800002b6	30400713	addi	x14,x0,772	  x0:0x00000000 x14=0x00000304
          57869	      2791	800002ba	0722	c.slli	x14,0x8	 x14:0x00000304 x14=0x00030400
          57889	      2792	800002bc	070d	c.addi	x14,3	 x14:0x00030400 x14=0x00030403
