Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          28190	      1308	80000080	40001c37	lui	x24,0x40001	 x24=0x40001000
          28230	      1310	80000084	106c0c13	addi	x24,x24,262	 x24:0x40001000 x24=0x40001106
          28530	      1325	80000088	301c1073	csrrw	x0,misa,x24	 x24:0x40001106  x0=0x00000000
          28590	      1328	8000008c	00026497	auipc	x9,0x26	  x9=0x8002608c
          28670	      1332	80000090	c5848493	addi	x9,x9,-936	  x9:0x8002608c  x9=0x80025ce4
          28870	      1342	80000094	00002c17	auipc	x24,0x2	 x24=0x80002094
          29090	      1353	80000098	66cc0c13	addi	x24,x24,1644	 x24:0x80002094 x24=0x80002700
          29490	      1373	8000009c	001c6c13	ori	x24,x24,1	 x24:0x80002700 x24=0x80002701
          29650	      1381	800000a0	305c1073	csrrw	x0,mtvec,x24	 x24:0x80002701  x0=0x00000000
          29710	      1384	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          29830	      1390	800000a8	00003317	auipc	x6,0x3	  x6=0x800030a8
          30010	      1399	800000ac	44430313	addi	x6,x6,1092	  x6:0x800030a8  x6=0x800034ec
          30430	      1420	800000b0	4c01	c.li	x24,0	 x24=0x00000000
          30450	      1421	800000b2	9362	c.add	x6,x24	  x6:0x800034ec x24:0x00000000  x6=0x800034ec
          30510	      1424	800000b4	00235313	srli	x6,x6,0x2	  x6:0x800034ec  x6=0x20000d3b
          30930	      1445	800000b8	3b031073	csrrw	x0,pmpaddr0,x6	  x6:0x20000d3b  x0=0x00000000
          31350	      1466	800000bc	00003317	auipc	x6,0x3	  x6=0x800030bc
          31770	      1487	800000c0	43030313	addi	x6,x6,1072	  x6:0x800030bc  x6=0x800034ec
          31890	      1493	800000c4	11111c37	lui	x24,0x11111	 x24=0x11111000
          31910	      1494	800000c8	111c0c13	addi	x24,x24,273	 x24:0x11111000 x24=0x11111111
          32030	      1500	800000cc	9362	c.add	x6,x24	  x6:0x800034ec x24:0x11111111  x6=0x911145fd
          32050	      1501	800000ce	00235313	srli	x6,x6,0x2	  x6:0x911145fd  x6=0x2444517f
          32290	      1513	800000d2	3b131073	csrrw	x0,pmpaddr1,x6	  x6:0x2444517f  x0=0x00000000
          32350	      1516	800000d6	00003317	auipc	x6,0x3	  x6=0x800030d6
          32410	      1519	800000da	41630313	addi	x6,x6,1046	  x6:0x800030d6  x6=0x800034ec
          32430	      1520	800000de	22222c37	lui	x24,0x22222	 x24=0x22222000
          32810	      1539	800000e2	222c0c13	addi	x24,x24,546	 x24:0x22222000 x24=0x22222222
          32830	      1540	800000e6	9362	c.add	x6,x24	  x6:0x800034ec x24:0x22222222  x6=0xa222570e
          33090	      1553	800000e8	00235313	srli	x6,x6,0x2	  x6:0xa222570e  x6=0x288895c3
          33210	      1559	800000ec	3b231073	csrrw	x0,pmpaddr2,x6	  x6:0x288895c3  x0=0x00000000
          33450	      1571	800000f0	00003317	auipc	x6,0x3	  x6=0x800030f0
          33470	      1572	800000f4	3fc30313	addi	x6,x6,1020	  x6:0x800030f0  x6=0x800034ec
          33490	      1573	800000f8	33333c37	lui	x24,0x33333	 x24=0x33333000
          33510	      1574	800000fc	333c0c13	addi	x24,x24,819	 x24:0x33333000 x24=0x33333333
          33570	      1577	80000100	9362	c.add	x6,x24	  x6:0x800034ec x24:0x33333333  x6=0xb333681f
          33590	      1578	80000102	00235313	srli	x6,x6,0x2	  x6:0xb333681f  x6=0x2cccda07
          33630	      1580	80000106	3b331073	csrrw	x0,pmpaddr3,x6	  x6:0x2cccda07  x0=0x00000000
          34050	      1601	8000010a	0f0f1337	lui	x6,0xf0f1	  x6=0x0f0f1000
          34150	      1606	8000010e	f0f30313	addi	x6,x6,-241	  x6:0x0f0f1000  x6=0x0f0f0f0f
          34550	      1626	80000112	3a031073	csrrw	x0,pmpcfg0,x6	  x6:0x0f0f0f0f  x0=0x00000000
          34610	      1629	80000116	00003317	auipc	x6,0x3	  x6=0x80003116
          34630	      1630	8000011a	3d630313	addi	x6,x6,982	  x6:0x80003116  x6=0x800034ec
          35010	      1649	8000011e	44444c37	lui	x24,0x44444	 x24=0x44444000
          35090	      1653	80000122	444c0c13	addi	x24,x24,1092	 x24:0x44444000 x24=0x44444444
          35110	      1654	80000126	9362	c.add	x6,x24	  x6:0x800034ec x24:0x44444444  x6=0xc4447930
          35270	      1662	80000128	00235313	srli	x6,x6,0x2	  x6:0xc4447930  x6=0x31111e4c
          35530	      1675	8000012c	3b431073	csrrw	x0,pmpaddr4,x6	  x6:0x31111e4c  x0=0x00000000
          35590	      1678	80000130	00003317	auipc	x6,0x3	  x6=0x80003130
          35610	      1679	80000134	3bc30313	addi	x6,x6,956	  x6:0x80003130  x6=0x800034ec
          35630	      1680	80000138	55555c37	lui	x24,0x55555	 x24=0x55555000
          35850	      1691	8000013c	555c0c13	addi	x24,x24,1365	 x24:0x55555000 x24=0x55555555
          36270	      1712	80000140	9362	c.add	x6,x24	  x6:0x800034ec x24:0x55555555  x6=0xd5558a41
          36390	      1718	80000142	00235313	srli	x6,x6,0x2	  x6:0xd5558a41  x6=0x35556290
          36410	      1719	80000146	3b531073	csrrw	x0,pmpaddr5,x6	  x6:0x35556290  x0=0x00000000
          36690	      1733	8000014a	00003317	auipc	x6,0x3	  x6=0x8000314a
          36910	      1744	8000014e	3a230313	addi	x6,x6,930	  x6:0x8000314a  x6=0x800034ec
          36970	      1747	80000152	66666c37	lui	x24,0x66666	 x24=0x66666000
          36990	      1748	80000156	666c0c13	addi	x24,x24,1638	 x24:0x66666000 x24=0x66666666
          37010	      1749	8000015a	9362	c.add	x6,x24	  x6:0x800034ec x24:0x66666666  x6=0xe6669b52
          37030	      1750	8000015c	00235313	srli	x6,x6,0x2	  x6:0xe6669b52  x6=0x3999a6d4
          37050	      1751	80000160	3b631073	csrrw	x0,pmpaddr6,x6	  x6:0x3999a6d4  x0=0x00000000
          37330	      1765	80000164	00003317	auipc	x6,0x3	  x6=0x80003164
          37730	      1785	80000168	38830313	addi	x6,x6,904	  x6:0x80003164  x6=0x800034ec
          38150	      1806	8000016c	77777c37	lui	x24,0x77777	 x24=0x77777000
          38290	      1813	80000170	777c0c13	addi	x24,x24,1911	 x24:0x77777000 x24=0x77777777
          38710	      1834	80000174	9362	c.add	x6,x24	  x6:0x800034ec x24:0x77777777  x6=0xf777ac63
          38730	      1835	80000176	00235313	srli	x6,x6,0x2	  x6:0xf777ac63  x6=0x3dddeb18
          38850	      1841	8000017a	3b731073	csrrw	x0,pmpaddr7,x6	  x6:0x3dddeb18  x0=0x00000000
          39090	      1853	8000017e	0f0f1337	lui	x6,0xf0f1	  x6=0x0f0f1000
          39130	      1855	80000182	f0f30313	addi	x6,x6,-241	  x6:0x0f0f1000  x6=0x0f0f0f0f
          39190	      1858	80000186	3a131073	csrrw	x0,pmpcfg1,x6	  x6:0x0f0f0f0f  x0=0x00000000
          39350	      1866	8000018a	00003317	auipc	x6,0x3	  x6=0x8000318a
          39370	      1867	8000018e	36230313	addi	x6,x6,866	  x6:0x8000318a  x6=0x800034ec
          39390	      1868	80000192	88889c37	lui	x24,0x88889	 x24=0x88889000
          39410	      1869	80000196	888c0c13	addi	x24,x24,-1912	 x24:0x88889000 x24=0x88888888
          39430	      1870	8000019a	9362	c.add	x6,x24	  x6:0x800034ec x24:0x88888888  x6=0x0888bd74
          39450	      1871	8000019c	00235313	srli	x6,x6,0x2	  x6:0x0888bd74  x6=0x02222f5d
          39470	      1872	800001a0	3b831073	csrrw	x0,pmpaddr8,x6	  x6:0x02222f5d  x0=0x00000000
          39870	      1892	800001a4	00003317	auipc	x6,0x3	  x6=0x800031a4
          39950	      1896	800001a8	34830313	addi	x6,x6,840	  x6:0x800031a4  x6=0x800034ec
          40190	      1908	800001ac	9999ac37	lui	x24,0x9999a	 x24=0x9999a000
          40390	      1918	800001b0	999c0c13	addi	x24,x24,-1639	 x24:0x9999a000 x24=0x99999999
          40410	      1919	800001b4	9362	c.add	x6,x24	  x6:0x800034ec x24:0x99999999  x6=0x1999ce85
          40430	      1920	800001b6	00235313	srli	x6,x6,0x2	  x6:0x1999ce85  x6=0x066673a1
          40450	      1921	800001ba	3b931073	csrrw	x0,pmpaddr9,x6	  x6:0x066673a1  x0=0x00000000
          40510	      1924	800001be	00003317	auipc	x6,0x3	  x6=0x800031be
          40530	      1925	800001c2	32e30313	addi	x6,x6,814	  x6:0x800031be  x6=0x800034ec
          40910	      1944	800001c6	aaaabc37	lui	x24,0xaaaab	 x24=0xaaaab000
          40930	      1945	800001ca	aaac0c13	addi	x24,x24,-1366	 x24:0xaaaab000 x24=0xaaaaaaaa
          40950	      1946	800001ce	9362	c.add	x6,x24	  x6:0x800034ec x24:0xaaaaaaaa  x6=0x2aaadf96
          40970	      1947	800001d0	00235313	srli	x6,x6,0x2	  x6:0x2aaadf96  x6=0x0aaab7e5
          41370	      1967	800001d4	3ba31073	csrrw	x0,pmpaddr10,x6	  x6:0x0aaab7e5  x0=0x00000000
          41490	      1973	800001d8	00003317	auipc	x6,0x3	  x6=0x800031d8
          41570	      1977	800001dc	31430313	addi	x6,x6,788	  x6:0x800031d8  x6=0x800034ec
          41690	      1983	800001e0	bbbbcc37	lui	x24,0xbbbbc	 x24=0xbbbbc000
          42010	      1999	800001e4	bbbc0c13	addi	x24,x24,-1093	 x24:0xbbbbc000 x24=0xbbbbbbbb
          42030	      2000	800001e8	9362	c.add	x6,x24	  x6:0x800034ec x24:0xbbbbbbbb  x6=0x3bbbf0a7
          42050	      2001	800001ea	00235313	srli	x6,x6,0x2	  x6:0x3bbbf0a7  x6=0x0eeefc29
          42070	      2002	800001ee	3bb31073	csrrw	x0,pmpaddr11,x6	  x6:0x0eeefc29  x0=0x00000000
          42130	      2005	800001f2	0f0f1337	lui	x6,0xf0f1	  x6=0x0f0f1000
          42150	      2006	800001f6	f0f30313	addi	x6,x6,-241	  x6:0x0f0f1000  x6=0x0f0f0f0f
          42170	      2007	800001fa	3a231073	csrrw	x0,pmpcfg2,x6	  x6:0x0f0f0f0f  x0=0x00000000
          42270	      2012	800001fe	00003317	auipc	x6,0x3	  x6=0x800031fe
          42370	      2017	80000202	2ee30313	addi	x6,x6,750	  x6:0x800031fe  x6=0x800034ec
          42590	      2028	80000206	ccccdc37	lui	x24,0xccccd	 x24=0xccccd000
          42750	      2036	8000020a	cccc0c13	addi	x24,x24,-820	 x24:0xccccd000 x24=0xcccccccc
          42770	      2037	8000020e	9362	c.add	x6,x24	  x6:0x800034ec x24:0xcccccccc  x6=0x4ccd01b8
          42790	      2038	80000210	00235313	srli	x6,x6,0x2	  x6:0x4ccd01b8  x6=0x1333406e
          42870	      2042	80000214	3bc31073	csrrw	x0,pmpaddr12,x6	  x6:0x1333406e  x0=0x00000000
          43170	      2057	80000218	00003317	auipc	x6,0x3	  x6=0x80003218
          43370	      2067	8000021c	2d430313	addi	x6,x6,724	  x6:0x80003218  x6=0x800034ec
          43570	      2077	80000220	ddddec37	lui	x24,0xdddde	 x24=0xdddde000
          43590	      2078	80000224	dddc0c13	addi	x24,x24,-547	 x24:0xdddde000 x24=0xdddddddd
