Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2790	        38	80000080	40001db7	lui	x27,0x40001	 x27=0x40001000
           2810	        39	80000084	106d8d93	addi	x27,x27,262	 x27:0x40001000 x27=0x40001106
           3010	        49	80000088	301d9073	csrrw	x0,misa,x27	 x27:0x40001106  x0=0x00000000
           3430	        70	8000008c	00026c97	auipc	x25,0x26	 x25=0x8002608c
           3450	        71	80000090	c58c8c93	addi	x25,x25,-936	 x25:0x8002608c x25=0x80025ce4
           3570	        77	80000094	00002d97	auipc	x27,0x2	 x27=0x80002094
           3590	        78	80000098	46cd8d93	addi	x27,x27,1132	 x27:0x80002094 x27=0x80002500
           3610	        79	8000009c	001ded93	ori	x27,x27,1	 x27:0x80002500 x27=0x80002501
           3630	        80	800000a0	305d9073	csrrw	x0,mtvec,x27	 x27:0x80002501  x0=0x00000000
           3750	        86	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3810	        89	800000a8	00003897	auipc	x17,0x3	 x17=0x800030a8
           3830	        90	800000ac	1d888893	addi	x17,x17,472	 x17:0x800030a8 x17=0x80003280
           4230	       110	800000b0	4d81	c.li	x27,0	 x27=0x00000000
           4250	       111	800000b2	98ee	c.add	x17,x27	 x17:0x80003280 x27:0x00000000 x17=0x80003280
           4270	       112	800000b4	0028d893	srli	x17,x17,0x2	 x17:0x80003280 x17=0x20000ca0
           4290	       113	800000b8	3b089073	csrrw	x0,pmpaddr0,x17	 x17:0x20000ca0  x0=0x00000000
           4510	       124	800000bc	00003897	auipc	x17,0x3	 x17=0x800030bc
           4530	       125	800000c0	1c488893	addi	x17,x17,452	 x17:0x800030bc x17=0x80003280
           4570	       127	800000c4	11111db7	lui	x27,0x11111	 x27=0x11111000
           4910	       144	800000c8	111d8d93	addi	x27,x27,273	 x27:0x11111000 x27=0x11111111
           4930	       145	800000cc	98ee	c.add	x17,x27	 x17:0x80003280 x27:0x11111111 x17=0x91114391
           4950	       146	800000ce	0028d893	srli	x17,x17,0x2	 x17:0x91114391 x17=0x244450e4
           5130	       155	800000d2	3b189073	csrrw	x0,pmpaddr1,x17	 x17:0x244450e4  x0=0x00000000
           5210	       159	800000d6	00003897	auipc	x17,0x3	 x17=0x800030d6
           5270	       162	800000da	1aa88893	addi	x17,x17,426	 x17:0x800030d6 x17=0x80003280
           5550	       176	800000de	22222db7	lui	x27,0x22222	 x27=0x22222000
