case_id,bug_id
case_000001,bug_001
case_000002,bug_001
case_000003,bug_001
case_000004,bug_001
case_000005,bug_001
case_000006,bug_001
case_000007,bug_001
case_000008,bug_001
case_000009,bug_001
case_000010,bug_001
case_000011,bug_002
case_000012,bug_002
case_000013,bug_002
case_000014,bug_002
case_000015,bug_002
case_000016,bug_002
case_000017,bug_002
case_000018,bug_002
case_000019,bug_002
case_000020,bug_002
case_000021,bug_003
case_000022,bug_003
case_000023,bug_003
case_000024,bug_003
case_000025,bug_003
case_000026,bug_003
case_000027,bug_003
case_000028,bug_003
case_000029,bug_003
case_000030,bug_003
case_000031,bug_005
case_000032,bug_005
case_000033,bug_005
case_000034,bug_005
case_000035,bug_005
case_000036,bug_005
case_000037,bug_005
case_000038,bug_005
case_000039,bug_005
case_000040,bug_005
case_000041,bug_008
case_000042,bug_008
case_000043,bug_008
case_000044,bug_008
case_000045,bug_008
case_000046,bug_008
case_000047,bug_008
case_000048,bug_008
case_000049,bug_008
case_000050,bug_008
case_000051,bug_009
case_000052,bug_009
case_000053,bug_009
case_000054,bug_009
case_000055,bug_009
case_000056,bug_009
case_000057,bug_009
case_000058,bug_009
case_000059,bug_009
case_000060,bug_009
case_000061,bug_010
case_000062,bug_010
case_000063,bug_010
case_000064,bug_010
case_000065,bug_010
case_000066,bug_010
case_000067,bug_010
case_000068,bug_010
case_000069,bug_010
case_000070,bug_010
case_000071,bug_011
case_000072,bug_011
case_000073,bug_011
case_000074,bug_011
case_000075,bug_011
case_000076,bug_011
case_000077,bug_011
case_000078,bug_011
case_000079,bug_011
case_000080,bug_011
