Case,bucket
1,bug_036
2,bug_036
3,bug_036
4,bug_036
5,bug_036
6,bug_036
7,bug_036
8,bug_036
9,bug_036
10,bug_036
11,bug_036
12,bug_036
13,bug_036
14,bug_036
15,bug_036
16,bug_036
17,bug_036
18,bug_036
19,bug_036
20,bug_036
21,bug_037
22,bug_037
23,bug_037
24,bug_037
25,bug_037
26,bug_037
27,bug_037
28,bug_037
29,bug_037
30,bug_037
31,bug_037
32,bug_037
33,bug_037
34,bug_037
35,bug_037
36,bug_037
37,bug_037
38,bug_037
39,bug_037
40,bug_037
41,bug_038
42,bug_038
43,bug_038
44,bug_038
45,bug_038
46,bug_038
47,bug_038
48,bug_038
49,bug_038
50,bug_038
51,bug_038
52,bug_038
53,bug_038
54,bug_038
55,bug_038
56,bug_038
57,bug_038
58,bug_038
59,bug_038
60,bug_038
61,bug_039
62,bug_039
63,bug_039
64,bug_039
65,bug_039
66,bug_039
67,bug_039
68,bug_039
69,bug_039
70,bug_039
71,bug_039
72,bug_039
73,bug_039
74,bug_039
75,bug_039
76,bug_039
77,bug_039
78,bug_039
79,bug_039
80,bug_039
