Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_csr_test,5011,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_csr_test/seed_005011
2,case_2,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_csr_test,5012,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_csr_test/seed_005012
3,case_3,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_csr_test,5013,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_csr_test/seed_005013
4,case_4,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_csr_test,5014,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_csr_test/seed_005014
5,case_5,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_debug_basic_test,5011,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_debug_basic_test/seed_005011
6,case_6,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_debug_basic_test,5012,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_debug_basic_test/seed_005012
7,case_7,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_debug_basic_test,5013,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_debug_basic_test/seed_005013
8,case_8,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_debug_basic_test,5014,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_debug_basic_test/seed_005014
9,case_9,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_machine_mode_rand_test,5011,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_machine_mode_rand_test/seed_005011
10,case_10,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_machine_mode_rand_test,5012,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_machine_mode_rand_test/seed_005012
11,case_11,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_machine_mode_rand_test,5013,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_machine_mode_rand_test/seed_005013
12,case_12,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_machine_mode_rand_test,5014,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_machine_mode_rand_test/seed_005014
13,case_13,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_rand_instr_test,5011,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_rand_instr_test/seed_005011
14,case_14,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_rand_instr_test,5012,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_rand_instr_test/seed_005012
15,case_15,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_rand_instr_test,5013,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_rand_instr_test/seed_005013
16,case_16,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_rand_instr_test,5014,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_rand_instr_test/seed_005014
17,case_17,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5011,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_single_interrupt_test/seed_005011
18,case_18,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5012,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_single_interrupt_test/seed_005012
19,case_19,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5013,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_single_interrupt_test/seed_005013
20,case_20,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5014,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_036/riscv_single_interrupt_test/seed_005014
21,case_21,bug_037,debug,debug_request_priority_wrong,riscv_debug_basic_test,5101,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_basic_test/seed_005101
22,case_22,bug_037,debug,debug_request_priority_wrong,riscv_debug_basic_test,5102,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_basic_test/seed_005102
23,case_23,bug_037,debug,debug_request_priority_wrong,riscv_debug_basic_test,5103,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_basic_test/seed_005103
24,case_24,bug_037,debug,debug_request_priority_wrong,riscv_debug_basic_test,5104,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_basic_test/seed_005104
25,case_25,bug_037,debug,debug_request_priority_wrong,riscv_debug_ebreak_test,5101,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_ebreak_test/seed_005101
26,case_26,bug_037,debug,debug_request_priority_wrong,riscv_debug_ebreak_test,5102,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_ebreak_test/seed_005102
27,case_27,bug_037,debug,debug_request_priority_wrong,riscv_debug_ebreak_test,5103,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_ebreak_test/seed_005103
28,case_28,bug_037,debug,debug_request_priority_wrong,riscv_debug_ebreak_test,5104,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_debug_ebreak_test/seed_005104
29,case_29,bug_037,debug,debug_request_priority_wrong,riscv_machine_mode_rand_test,5101,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_machine_mode_rand_test/seed_005101
30,case_30,bug_037,debug,debug_request_priority_wrong,riscv_machine_mode_rand_test,5102,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_machine_mode_rand_test/seed_005102
31,case_31,bug_037,debug,debug_request_priority_wrong,riscv_machine_mode_rand_test,5103,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_machine_mode_rand_test/seed_005103
32,case_32,bug_037,debug,debug_request_priority_wrong,riscv_machine_mode_rand_test,5104,/home/meow/iccad/dataset/raw_runs_official_directed_stage1_4bugs/bug_037/riscv_machine_mode_rand_test/seed_005104
