Case,bucket
1,bug_036
2,bug_036
3,bug_036
4,bug_036
5,bug_036
6,bug_036
7,bug_036
8,bug_036
9,bug_036
10,bug_036
11,bug_036
12,bug_036
13,bug_036
14,bug_036
15,bug_036
16,bug_036
17,bug_036
18,bug_036
19,bug_036
20,bug_036
21,bug_036
22,bug_036
23,bug_036
24,bug_036
25,bug_036
26,bug_036
27,bug_036
28,bug_036
29,bug_037
30,bug_037
31,bug_037
32,bug_037
33,bug_037
34,bug_037
35,bug_037
36,bug_037
37,bug_037
38,bug_037
39,bug_037
40,bug_037
41,bug_037
42,bug_037
43,bug_037
44,bug_037
45,bug_037
46,bug_037
47,bug_037
48,bug_037
49,bug_037
50,bug_037
51,bug_037
52,bug_037
53,bug_037
54,bug_037
55,bug_037
56,bug_037
57,bug_037
58,bug_037
59,bug_037
60,bug_037
61,bug_038
62,bug_038
63,bug_038
64,bug_038
65,bug_038
66,bug_038
67,bug_038
68,bug_038
69,bug_038
70,bug_038
71,bug_038
72,bug_038
73,bug_038
74,bug_038
75,bug_038
76,bug_038
77,bug_038
78,bug_038
79,bug_038
80,bug_038
81,bug_038
82,bug_038
83,bug_038
84,bug_038
85,bug_038
