Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5011,/workspace/ibex/dv/uvm/out
2,case_2,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5012,/workspace/ibex/dv/uvm/out
3,case_3,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5013,/workspace/ibex/dv/uvm/out
4,case_4,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5551,/workspace/ibex/dv/uvm/out
5,case_5,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5552,/workspace/ibex/dv/uvm/out
6,case_6,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5553,/workspace/ibex/dv/uvm/out
7,case_7,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5555,/workspace/ibex/dv/uvm/out
8,case_8,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5557,/workspace/ibex/dv/uvm/out
9,case_9,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5558,/workspace/ibex/dv/uvm/out
10,case_10,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5559,/workspace/ibex/dv/uvm/out
11,case_11,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5560,/workspace/ibex/dv/uvm/out
12,case_12,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5562,/workspace/ibex/dv/uvm/out
13,case_13,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5563,/workspace/ibex/dv/uvm/out
14,case_14,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5564,/workspace/ibex/dv/uvm/out
15,case_15,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5565,/workspace/ibex/dv/uvm/out
16,case_16,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5566,/workspace/ibex/dv/uvm/out
17,case_17,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5567,/workspace/ibex/dv/uvm/out
18,case_18,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5568,/workspace/ibex/dv/uvm/out
19,case_19,bug_036,interrupt,interrupt_enable_condition_wrong,riscv_single_interrupt_test,5570,/workspace/ibex/dv/uvm/out
