Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          11610	       479	80000080	40001337	lui	x6,0x40001	  x6=0x40001000
          11630	       480	80000084	10630313	addi	x6,x6,262	  x6:0x40001000  x6=0x40001106
          11670	       482	80000088	30131073	csrrw	x0,misa,x6	  x6:0x40001106  x0=0x00000000
          11850	       491	8000008c	00026f17	auipc	x30,0x26	 x30=0x8002608c
          12270	       512	80000090	c58f0f13	addi	x30,x30,-936	 x30:0x8002608c x30=0x80025ce4
          12530	       525	80000094	00002317	auipc	x6,0x2	  x6=0x80002094
          12850	       541	80000098	56c30313	addi	x6,x6,1388	  x6:0x80002094  x6=0x80002600
          13050	       551	8000009c	00136313	ori	x6,x6,1	  x6:0x80002600  x6=0x80002601
          13470	       572	800000a0	30531073	csrrw	x0,mtvec,x6	  x6:0x80002601  x0=0x00000000
          13890	       593	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          14270	       612	800000a8	00003e17	auipc	x28,0x3	 x28=0x800030a8
          14290	       613	800000ac	304e0e13	addi	x28,x28,772	 x28:0x800030a8 x28=0x800033ac
          14310	       614	800000b0	4301	c.li	x6,0	  x6=0x00000000
          14330	       615	800000b2	9e1a	c.add	x28,x6	 x28:0x800033ac  x6:0x80002601 x28=0x000059ad
