Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2360	        16	80000080	40001337	lui	x6,0x40001	  x6=0x40001000
           2380	        17	80000084	10630313	addi	x6,x6,262	  x6:0x40001000  x6=0x40001106
           2540	        25	80000088	30131073	csrrw	x0,misa,x6	  x6:0x40001106  x0=0x00000000
           2600	        28	8000008c	00026e97	auipc	x29,0x26	 x29=0x8002608c
           2620	        29	80000090	c58e8e93	addi	x29,x29,-936	 x29:0x8002608c x29=0x80025ce4
           2640	        30	80000094	00002317	auipc	x6,0x2	  x6=0x80002094
           3060	        51	80000098	26c30313	addi	x6,x6,620	  x6:0x80002094  x6=0x80002300
           3080	        52	8000009c	00136313	ori	x6,x6,1	  x6:0x80002300  x6=0x80002301
           3280	        62	800000a0	30531073	csrrw	x0,mtvec,x6	  x6:0x80002301  x0=0x00000000
           3700	        83	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3860	        91	800000a8	00003f17	auipc	x30,0x3	 x30=0x800030a8
           4280	       112	800000ac	f98f0f13	addi	x30,x30,-104	 x30:0x800030a8 x30=0x80003040
           4300	       113	800000b0	4301	c.li	x6,0	  x6=0x00000000
           4320	       114	800000b2	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x00000000 x30=0x80003040
           4340	       115	800000b4	002f5f13	srli	x30,x30,0x2	 x30:0x80003040 x30=0x20000c10
           4360	       116	800000b8	3b0f1073	csrrw	x0,pmpaddr0,x30	 x30:0x20000c10  x0=0x00000000
           4420	       119	800000bc	00003f17	auipc	x30,0x3	 x30=0x800030bc
           4660	       131	800000c0	f84f0f13	addi	x30,x30,-124	 x30:0x800030bc x30=0x80003040
           4820	       139	800000c4	11111337	lui	x6,0x11111	  x6=0x11111000
           4840	       140	800000c8	11130313	addi	x6,x6,273	  x6:0x11111000  x6=0x11111111
           4860	       141	800000cc	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x11111111 x30=0x91114151
           4940	       145	800000ce	002f5f13	srli	x30,x30,0x2	 x30:0x91114151 x30=0x24445054
           5120	       154	800000d2	3b1f1073	csrrw	x0,pmpaddr1,x30	 x30:0x24445054  x0=0x00000000
           5240	       160	800000d6	00003f17	auipc	x30,0x3	 x30=0x800030d6
           5420	       169	800000da	f6af0f13	addi	x30,x30,-150	 x30:0x800030d6 x30=0x80003040
           5440	       170	800000de	22222337	lui	x6,0x22222	  x6=0x22222000
           5480	       172	800000e2	22230313	addi	x6,x6,546	  x6:0x22222000  x6=0x22222222
           5500	       173	800000e6	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x22222222 x30=0xa2225262
           5580	       177	800000e8	002f5f13	srli	x30,x30,0x2	 x30:0xa2225262 x30=0x28889498
           5600	       178	800000ec	3b2f1073	csrrw	x0,pmpaddr2,x30	 x30:0x28889498  x0=0x00000000
           5920	       194	800000f0	00003f17	auipc	x30,0x3	 x30=0x800030f0
           6000	       198	800000f4	f50f0f13	addi	x30,x30,-176	 x30:0x800030f0 x30=0x80003040
           6060	       201	800000f8	33333337	lui	x6,0x33333	  x6=0x33333000
           6480	       222	800000fc	33330313	addi	x6,x6,819	  x6:0x33333000  x6=0x33333333
           6500	       223	80000100	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x33333333 x30=0xb3336373
           6600	       228	80000102	002f5f13	srli	x30,x30,0x2	 x30:0xb3336373 x30=0x2cccd8dc
           6620	       229	80000106	3b3f1073	csrrw	x0,pmpaddr3,x30	 x30:0x2cccd8dc  x0=0x00000000
           6680	       232	8000010a	0f0f1f37	lui	x30,0xf0f1	 x30=0x0f0f1000
           6820	       239	8000010e	f0ff0f13	addi	x30,x30,-241	 x30:0x0f0f1000 x30=0x0f0f0f0f
           6840	       240	80000112	3a0f1073	csrrw	x0,pmpcfg0,x30	 x30:0x0f0f0f0f  x0=0x00000000
           6900	       243	80000116	00003f17	auipc	x30,0x3	 x30=0x80003116
           6920	       244	8000011a	f2af0f13	addi	x30,x30,-214	 x30:0x80003116 x30=0x80003040
           6940	       245	8000011e	44444337	lui	x6,0x44444	  x6=0x44444000
           7000	       248	80000122	44430313	addi	x6,x6,1092	  x6:0x44444000  x6=0x44444444
           7020	       249	80000126	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x44444444 x30=0xc4447484
           7380	       267	80000128	002f5f13	srli	x30,x30,0x2	 x30:0xc4447484 x30=0x31111d21
           7620	       279	8000012c	3b4f1073	csrrw	x0,pmpaddr4,x30	 x30:0x31111d21  x0=0x00000000
           7700	       283	80000130	00003f17	auipc	x30,0x3	 x30=0x80003130
           7720	       284	80000134	f10f0f13	addi	x30,x30,-240	 x30:0x80003130 x30=0x80003040
           7880	       292	80000138	55555337	lui	x6,0x55555	  x6=0x55555000
           7900	       293	8000013c	55530313	addi	x6,x6,1365	  x6:0x55555000  x6=0x55555555
           7940	       295	80000140	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x55555555 x30=0xd5558595
           7960	       296	80000142	002f5f13	srli	x30,x30,0x2	 x30:0xd5558595 x30=0x35556165
           7980	       297	80000146	3b5f1073	csrrw	x0,pmpaddr5,x30	 x30:0x35556165  x0=0x00000000
           8380	       317	8000014a	00003f17	auipc	x30,0x3	 x30=0x8000314a
           8540	       325	8000014e	ef6f0f13	addi	x30,x30,-266	 x30:0x8000314a x30=0x80003040
           8560	       326	80000152	66666337	lui	x6,0x66666	  x6=0x66666000
           8580	       327	80000156	66630313	addi	x6,x6,1638	  x6:0x66666000  x6=0x66666666
           8600	       328	8000015a	9f1a	c.add	x30,x6	 x30:0x80003040  x6:0x66666666 x30=0xe66696a6
           8880	       342	8000015c	002f5f13	srli	x30,x30,0x2	 x30:0xe66696a6 x30=0x3999a5a9
           9300	       363	80000160	3b6f1073	csrrw	x0,pmpaddr6,x30	 x30:0x3999a5a9  x0=0x00000000
           9400	       368	80000164	00003f17	auipc	x30,0x3	 x30=0x80003164
           9500	       373	80000168	edcf0f13	addi	x30,x30,-292	 x30:0x80003164 x30=0x80003040
           9920	       394	8000016c	77777337	lui	x6,0x77777	  x6=0x77777000
