case_id,bug_id
case_000001,bug_001
case_000002,bug_001
case_000003,bug_001
case_000004,bug_001
case_000005,bug_001
case_000006,bug_001
case_000007,bug_001
case_000008,bug_001
case_000009,bug_001
case_000010,bug_001
case_000011,bug_001
case_000012,bug_001
case_000013,bug_001
case_000014,bug_001
case_000015,bug_001
case_000016,bug_001
case_000017,bug_001
case_000018,bug_001
case_000019,bug_001
case_000020,bug_001
case_000021,bug_002
case_000022,bug_002
case_000023,bug_002
case_000024,bug_002
case_000025,bug_002
case_000026,bug_002
case_000027,bug_002
case_000028,bug_002
case_000029,bug_002
case_000030,bug_002
case_000031,bug_002
case_000032,bug_002
case_000033,bug_002
case_000034,bug_002
case_000035,bug_002
case_000036,bug_002
case_000037,bug_002
case_000038,bug_002
case_000039,bug_002
case_000040,bug_002
case_000041,bug_003
case_000042,bug_003
case_000043,bug_003
case_000044,bug_003
case_000045,bug_003
case_000046,bug_003
case_000047,bug_003
case_000048,bug_003
case_000049,bug_003
case_000050,bug_003
case_000051,bug_003
case_000052,bug_003
case_000053,bug_003
case_000054,bug_003
case_000055,bug_003
case_000056,bug_003
case_000057,bug_003
case_000058,bug_003
case_000059,bug_003
case_000060,bug_003
case_000061,bug_005
case_000062,bug_005
case_000063,bug_005
case_000064,bug_005
case_000065,bug_005
case_000066,bug_005
case_000067,bug_005
case_000068,bug_005
case_000069,bug_005
case_000070,bug_005
case_000071,bug_005
case_000072,bug_005
case_000073,bug_005
case_000074,bug_005
case_000075,bug_005
case_000076,bug_005
case_000077,bug_005
case_000078,bug_005
case_000079,bug_005
case_000080,bug_005
case_000081,bug_008
case_000082,bug_008
case_000083,bug_008
case_000084,bug_008
case_000085,bug_008
case_000086,bug_008
case_000087,bug_008
case_000088,bug_008
case_000089,bug_008
case_000090,bug_008
case_000091,bug_008
case_000092,bug_008
case_000093,bug_008
case_000094,bug_008
case_000095,bug_008
case_000096,bug_008
case_000097,bug_008
case_000098,bug_008
case_000099,bug_008
case_000100,bug_008
case_000101,bug_009
case_000102,bug_009
case_000103,bug_009
case_000104,bug_009
case_000105,bug_009
case_000106,bug_009
case_000107,bug_009
case_000108,bug_009
case_000109,bug_009
case_000110,bug_009
case_000111,bug_009
case_000112,bug_009
case_000113,bug_009
case_000114,bug_009
case_000115,bug_009
case_000116,bug_009
case_000117,bug_009
case_000118,bug_009
case_000119,bug_009
case_000120,bug_009
case_000121,bug_010
case_000122,bug_010
case_000123,bug_010
case_000124,bug_010
case_000125,bug_010
case_000126,bug_010
case_000127,bug_010
case_000128,bug_010
case_000129,bug_010
case_000130,bug_010
case_000131,bug_010
case_000132,bug_010
case_000133,bug_010
case_000134,bug_010
case_000135,bug_010
case_000136,bug_010
case_000137,bug_010
case_000138,bug_010
case_000139,bug_010
case_000140,bug_010
case_000141,bug_011
case_000142,bug_011
case_000143,bug_011
case_000144,bug_011
case_000145,bug_011
case_000146,bug_011
case_000147,bug_011
case_000148,bug_011
case_000149,bug_011
case_000150,bug_011
case_000151,bug_011
case_000152,bug_011
case_000153,bug_011
case_000154,bug_011
case_000155,bug_011
case_000156,bug_011
case_000157,bug_011
case_000158,bug_011
case_000159,bug_011
case_000160,bug_011
case_000161,bug_012
case_000162,bug_012
case_000163,bug_012
case_000164,bug_012
case_000165,bug_012
case_000166,bug_012
case_000167,bug_012
case_000168,bug_012
case_000169,bug_012
case_000170,bug_012
case_000171,bug_012
case_000172,bug_012
case_000173,bug_012
case_000174,bug_012
case_000175,bug_012
case_000176,bug_012
case_000177,bug_012
case_000178,bug_012
case_000179,bug_012
case_000180,bug_012
case_000181,bug_013
case_000182,bug_013
case_000183,bug_013
case_000184,bug_013
case_000185,bug_013
case_000186,bug_013
case_000187,bug_013
case_000188,bug_013
case_000189,bug_013
case_000190,bug_013
case_000191,bug_013
case_000192,bug_013
case_000193,bug_013
case_000194,bug_013
case_000195,bug_013
case_000196,bug_013
case_000197,bug_013
case_000198,bug_013
case_000199,bug_013
case_000200,bug_013
case_000201,bug_014
case_000202,bug_014
case_000203,bug_014
case_000204,bug_014
case_000205,bug_014
case_000206,bug_014
case_000207,bug_014
case_000208,bug_014
case_000209,bug_014
case_000210,bug_014
case_000211,bug_014
case_000212,bug_014
case_000213,bug_014
case_000214,bug_014
case_000215,bug_014
case_000216,bug_014
case_000217,bug_014
case_000218,bug_014
case_000219,bug_014
case_000220,bug_014
case_000221,bug_015
case_000222,bug_015
case_000223,bug_015
case_000224,bug_015
case_000225,bug_015
case_000226,bug_015
case_000227,bug_015
case_000228,bug_015
case_000229,bug_015
case_000230,bug_015
case_000231,bug_015
case_000232,bug_015
case_000233,bug_015
case_000234,bug_015
case_000235,bug_015
case_000236,bug_015
case_000237,bug_015
case_000238,bug_015
case_000239,bug_015
case_000240,bug_015
case_000241,bug_016
case_000242,bug_016
case_000243,bug_016
case_000244,bug_016
case_000245,bug_016
case_000246,bug_016
case_000247,bug_016
case_000248,bug_016
case_000249,bug_016
case_000250,bug_016
case_000251,bug_016
case_000252,bug_016
case_000253,bug_016
case_000254,bug_016
case_000255,bug_016
case_000256,bug_016
case_000257,bug_016
case_000258,bug_016
case_000259,bug_016
case_000260,bug_016
case_000261,bug_017
case_000262,bug_017
case_000263,bug_017
case_000264,bug_017
case_000265,bug_017
case_000266,bug_017
case_000267,bug_017
case_000268,bug_017
case_000269,bug_017
case_000270,bug_017
case_000271,bug_017
case_000272,bug_017
case_000273,bug_017
case_000274,bug_017
case_000275,bug_017
case_000276,bug_017
case_000277,bug_017
case_000278,bug_017
case_000279,bug_017
case_000280,bug_017
case_000281,bug_018
case_000282,bug_018
case_000283,bug_018
case_000284,bug_018
case_000285,bug_018
case_000286,bug_018
case_000287,bug_018
case_000288,bug_018
case_000289,bug_018
case_000290,bug_018
case_000291,bug_018
case_000292,bug_018
case_000293,bug_018
case_000294,bug_018
case_000295,bug_018
case_000296,bug_018
case_000297,bug_018
case_000298,bug_018
case_000299,bug_018
case_000300,bug_018
case_000301,bug_019
case_000302,bug_019
case_000303,bug_019
case_000304,bug_019
case_000305,bug_019
case_000306,bug_019
case_000307,bug_019
case_000308,bug_019
case_000309,bug_019
case_000310,bug_019
case_000311,bug_019
case_000312,bug_019
case_000313,bug_019
case_000314,bug_019
case_000315,bug_019
case_000316,bug_019
case_000317,bug_019
case_000318,bug_019
case_000319,bug_019
case_000320,bug_019
case_000321,bug_020
case_000322,bug_020
case_000323,bug_020
case_000324,bug_020
case_000325,bug_020
case_000326,bug_020
case_000327,bug_020
case_000328,bug_020
case_000329,bug_020
case_000330,bug_020
case_000331,bug_020
case_000332,bug_020
case_000333,bug_020
case_000334,bug_020
case_000335,bug_020
case_000336,bug_020
case_000337,bug_020
case_000338,bug_020
case_000339,bug_020
case_000340,bug_020
case_000341,bug_021
case_000342,bug_021
case_000343,bug_021
case_000344,bug_021
case_000345,bug_021
case_000346,bug_021
case_000347,bug_021
case_000348,bug_021
case_000349,bug_021
case_000350,bug_021
case_000351,bug_021
case_000352,bug_021
case_000353,bug_021
case_000354,bug_021
case_000355,bug_021
case_000356,bug_021
case_000357,bug_021
case_000358,bug_021
case_000359,bug_021
case_000360,bug_021
case_000361,bug_022
case_000362,bug_022
case_000363,bug_022
case_000364,bug_022
case_000365,bug_022
case_000366,bug_022
case_000367,bug_022
case_000368,bug_022
case_000369,bug_022
case_000370,bug_022
case_000371,bug_022
case_000372,bug_022
case_000373,bug_022
case_000374,bug_022
case_000375,bug_022
case_000376,bug_022
case_000377,bug_022
case_000378,bug_022
case_000379,bug_022
case_000380,bug_022
case_000381,bug_023
case_000382,bug_023
case_000383,bug_023
case_000384,bug_023
case_000385,bug_023
case_000386,bug_023
case_000387,bug_023
case_000388,bug_023
case_000389,bug_023
case_000390,bug_023
case_000391,bug_023
case_000392,bug_023
case_000393,bug_023
case_000394,bug_023
case_000395,bug_023
case_000396,bug_023
