Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_037,debug_exception,debug_entry_priority_wrong,riscv_debug_branch_jump_test,9401,/workspace/ibex/dv/uvm/out
2,case_2,bug_037,debug_exception,debug_entry_priority_wrong,riscv_debug_branch_jump_test,9402,/workspace/ibex/dv/uvm/out
3,case_3,bug_037,debug_exception,debug_entry_priority_wrong,riscv_debug_stress_test,9401,/workspace/ibex/dv/uvm/out
4,case_4,bug_037,debug_exception,debug_entry_priority_wrong,riscv_debug_stress_test,9402,/workspace/ibex/dv/uvm/out
5,case_5,bug_037,debug,debug_entry_requires_halt_and_step,riscv_dret_test,8901,/workspace/ibex/dv/uvm/out
6,case_6,bug_037,debug,debug_entry_requires_halt_and_step,riscv_dret_test,8902,/workspace/ibex/dv/uvm/out
7,case_7,bug_037,debug,debug_entry_requires_halt_and_step,riscv_dret_test,8903,/workspace/ibex/dv/uvm/out
8,case_8,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_interrupt_csr_test,9201,/workspace/ibex/dv/uvm/out
9,case_9,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_interrupt_csr_test,9203,/workspace/ibex/dv/uvm/out
10,case_10,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_multiple_interrupt_test,9201,/workspace/ibex/dv/uvm/out
11,case_11,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_multiple_interrupt_test,9202,/workspace/ibex/dv/uvm/out
12,case_12,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_multiple_interrupt_test,9203,/workspace/ibex/dv/uvm/out
13,case_13,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_single_interrupt_test,9201,/workspace/ibex/dv/uvm/out
14,case_14,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_single_interrupt_test,9202,/workspace/ibex/dv/uvm/out
15,case_15,bug_038,csr_exception,mstatus_mie_restore_wrong,riscv_single_interrupt_test,9203,/workspace/ibex/dv/uvm/out
16,case_16,bug_055,debug_exception,dret_pc_restore_wrong,riscv_debug_branch_jump_test,9501,/workspace/ibex/dv/uvm/out
17,case_17,bug_055,debug_exception,dret_pc_restore_wrong,riscv_debug_branch_jump_test,9502,/workspace/ibex/dv/uvm/out
18,case_18,bug_055,debug_exception,dret_pc_restore_wrong,riscv_debug_stress_test,9501,/workspace/ibex/dv/uvm/out
19,case_19,bug_055,debug_exception,dret_pc_restore_wrong,riscv_debug_stress_test,9502,/workspace/ibex/dv/uvm/out
20,case_20,bug_055,debug,dret_uses_mepc_instead_of_dpc,riscv_dret_test,9001,/workspace/ibex/dv/uvm/out
21,case_21,bug_055,debug,dret_uses_mepc_instead_of_dpc,riscv_dret_test,9002,/workspace/ibex/dv/uvm/out
22,case_22,bug_055,debug,dret_uses_mepc_instead_of_dpc,riscv_dret_test,9003,/workspace/ibex/dv/uvm/out
23,case_23,bug_056,debug_exception,debug_ebreak_csr_output_stuck_low,riscv_debug_branch_jump_test,9601,/workspace/ibex/dv/uvm/out
24,case_24,bug_056,debug_exception,debug_ebreak_csr_output_stuck_low,riscv_debug_branch_jump_test,9602,/workspace/ibex/dv/uvm/out
25,case_25,bug_056,debug_exception,debug_ebreak_csr_output_stuck_low,riscv_debug_stress_test,9601,/workspace/ibex/dv/uvm/out
26,case_26,bug_056,debug_exception,debug_ebreak_csr_output_stuck_low,riscv_debug_stress_test,9602,/workspace/ibex/dv/uvm/out
27,case_27,bug_056,debug,debug_ebreak_controls_forced_off,riscv_dret_test,9101,/workspace/ibex/dv/uvm/out
28,case_28,bug_056,debug,debug_ebreak_controls_forced_off,riscv_dret_test,9102,/workspace/ibex/dv/uvm/out
29,case_29,bug_056,debug,debug_ebreak_controls_forced_off,riscv_dret_test,9103,/workspace/ibex/dv/uvm/out
30,case_30,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_interrupt_csr_test,9301,/workspace/ibex/dv/uvm/out
31,case_31,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_interrupt_csr_test,9303,/workspace/ibex/dv/uvm/out
32,case_32,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_multiple_interrupt_test,9301,/workspace/ibex/dv/uvm/out
33,case_33,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_multiple_interrupt_test,9302,/workspace/ibex/dv/uvm/out
34,case_34,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_multiple_interrupt_test,9303,/workspace/ibex/dv/uvm/out
35,case_35,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_single_interrupt_test,9301,/workspace/ibex/dv/uvm/out
36,case_36,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_single_interrupt_test,9302,/workspace/ibex/dv/uvm/out
37,case_37,bug_057,interrupt,external_irq_cause_reported_as_timer,riscv_single_interrupt_test,9303,/workspace/ibex/dv/uvm/out
