Case,case_id,bug_id,group,family,test,seed,source_run_dir
1,case_1,bug_041,alu,sra_decoded_as_logical_shift,riscv_machine_mode_rand_test,7001,/workspace/ibex/dv/uvm/out
2,case_2,bug_041,alu,sra_decoded_as_logical_shift,riscv_machine_mode_rand_test,7002,/workspace/ibex/dv/uvm/out
3,case_3,bug_041,alu,sra_decoded_as_logical_shift,riscv_machine_mode_rand_test,7003,/workspace/ibex/dv/uvm/out
4,case_4,bug_041,alu,sra_decoded_as_logical_shift,riscv_rand_instr_test,7001,/workspace/ibex/dv/uvm/out
5,case_5,bug_041,alu,sra_decoded_as_logical_shift,riscv_rand_instr_test,7002,/workspace/ibex/dv/uvm/out
6,case_6,bug_041,alu,sra_decoded_as_logical_shift,riscv_rand_instr_test,7003,/workspace/ibex/dv/uvm/out
7,case_7,bug_042,branch,beq_bne_condition_swapped,riscv_jump_stress_test,7101,/workspace/ibex/dv/uvm/out
8,case_8,bug_042,branch,beq_bne_condition_swapped,riscv_jump_stress_test,7102,/workspace/ibex/dv/uvm/out
9,case_9,bug_042,branch,beq_bne_condition_swapped,riscv_jump_stress_test,7103,/workspace/ibex/dv/uvm/out
10,case_10,bug_042,branch,beq_bne_condition_swapped,riscv_rand_jump_test,7101,/workspace/ibex/dv/uvm/out
11,case_11,bug_042,branch,beq_bne_condition_swapped,riscv_rand_jump_test,7102,/workspace/ibex/dv/uvm/out
12,case_12,bug_042,branch,beq_bne_condition_swapped,riscv_rand_jump_test,7103,/workspace/ibex/dv/uvm/out
13,case_13,bug_043,load_store,load_sign_extension_disabled,riscv_rand_instr_test,7201,/workspace/ibex/dv/uvm/out
14,case_14,bug_043,load_store,load_sign_extension_disabled,riscv_rand_instr_test,7202,/workspace/ibex/dv/uvm/out
15,case_15,bug_043,load_store,load_sign_extension_disabled,riscv_rand_instr_test,7203,/workspace/ibex/dv/uvm/out
16,case_16,bug_043,load_store,load_sign_extension_disabled,riscv_unaligned_load_store_test,7201,/workspace/ibex/dv/uvm/out
17,case_17,bug_043,load_store,load_sign_extension_disabled,riscv_unaligned_load_store_test,7202,/workspace/ibex/dv/uvm/out
18,case_18,bug_043,load_store,load_sign_extension_disabled,riscv_unaligned_load_store_test,7203,/workspace/ibex/dv/uvm/out
19,case_19,bug_044,branch,bltu_bgeu_condition_swapped,riscv_jump_stress_test,7301,/workspace/ibex/dv/uvm/out
20,case_20,bug_044,branch,bltu_bgeu_condition_swapped,riscv_jump_stress_test,7302,/workspace/ibex/dv/uvm/out
21,case_21,bug_044,branch,bltu_bgeu_condition_swapped,riscv_jump_stress_test,7303,/workspace/ibex/dv/uvm/out
22,case_22,bug_044,branch,bltu_bgeu_condition_swapped,riscv_rand_jump_test,7301,/workspace/ibex/dv/uvm/out
23,case_23,bug_044,branch,bltu_bgeu_condition_swapped,riscv_rand_jump_test,7302,/workspace/ibex/dv/uvm/out
24,case_24,bug_044,branch,bltu_bgeu_condition_swapped,riscv_rand_jump_test,7303,/workspace/ibex/dv/uvm/out
