Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2442	        20	80000080	400018b7	lui	x17,0x40001	 x17=0x40001000
           2642	        30	80000084	10688893	addi	x17,x17,262	 x17:0x40001000 x17=0x40001106
           2742	        35	80000088	30189073	csrrw	x0,misa,x17	 x17:0x40001106  x0=0x00000000
           3082	        52	8000008c	00026b97	auipc	x23,0x26	 x23=0x8002608c
           3102	        53	80000090	c58b8b93	addi	x23,x23,-936	 x23:0x8002608c x23=0x80025ce4
           3202	        58	80000094	00002897	auipc	x17,0x2	 x17=0x80002094
           3222	        59	80000098	66c88893	addi	x17,x17,1644	 x17:0x80002094 x17=0x80002700
           3242	        60	8000009c	0018e893	ori	x17,x17,1	 x17:0x80002700 x17=0x80002701
           3502	        73	800000a0	30589073	csrrw	x0,mtvec,x17	 x17:0x80002701  x0=0x00000000
           3562	        76	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3942	        95	800000a8	00003c97	auipc	x25,0x3	 x25=0x800030a8
           3962	        96	800000ac	444c8c93	addi	x25,x25,1092	 x25:0x800030a8 x25=0x800034ec
           3982	        97	800000b0	4881	c.li	x17,0	 x17=0x00000000
           4002	        98	800000b2	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x00000000 x25=0x800034ec
           4022	        99	800000b4	002cdc93	srli	x25,x25,0x2	 x25:0x800034ec x25=0x20000d3b
           4402	       118	800000b8	3b0c9073	csrrw	x0,pmpaddr0,x25	 x25:0x20000d3b  x0=0x00000000
           4522	       124	800000bc	00003c97	auipc	x25,0x3	 x25=0x800030bc
           4942	       145	800000c0	430c8c93	addi	x25,x25,1072	 x25:0x800030bc x25=0x800034ec
           5322	       164	800000c4	111118b7	lui	x17,0x11111	 x17=0x11111000
           5342	       165	800000c8	11188893	addi	x17,x17,273	 x17:0x11111000 x17=0x11111111
           5362	       166	800000cc	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x11111111 x25=0x911145fd
           5382	       167	800000ce	002cdc93	srli	x25,x25,0x2	 x25:0x911145fd x25=0x2444517f
           5402	       168	800000d2	3b1c9073	csrrw	x0,pmpaddr1,x25	 x25:0x2444517f  x0=0x00000000
           5462	       171	800000d6	00003c97	auipc	x25,0x3	 x25=0x800030d6
           5842	       190	800000da	416c8c93	addi	x25,x25,1046	 x25:0x800030d6 x25=0x800034ec
           5862	       191	800000de	222228b7	lui	x17,0x22222	 x17=0x22222000
           5882	       192	800000e2	22288893	addi	x17,x17,546	 x17:0x22222000 x17=0x22222222
           5902	       193	800000e6	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x22222222 x25=0xa222570e
           5922	       194	800000e8	002cdc93	srli	x25,x25,0x2	 x25:0xa222570e x25=0x288895c3
           6322	       214	800000ec	3b2c9073	csrrw	x0,pmpaddr2,x25	 x25:0x288895c3  x0=0x00000000
           6382	       217	800000f0	00003c97	auipc	x25,0x3	 x25=0x800030f0
           6622	       229	800000f4	3fcc8c93	addi	x25,x25,1020	 x25:0x800030f0 x25=0x800034ec
           6862	       241	800000f8	333338b7	lui	x17,0x33333	 x17=0x33333000
           7282	       262	800000fc	33388893	addi	x17,x17,819	 x17:0x33333000 x17=0x33333333
           7382	       267	80000100	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x33333333 x25=0xb333681f
           7802	       288	80000102	002cdc93	srli	x25,x25,0x2	 x25:0xb333681f x25=0x2cccda07
           7922	       294	80000106	3b3c9073	csrrw	x0,pmpaddr3,x25	 x25:0x2cccda07  x0=0x00000000
           7982	       297	8000010a	0f0f1cb7	lui	x25,0xf0f1	 x25=0x0f0f1000
           8142	       305	8000010e	f0fc8c93	addi	x25,x25,-241	 x25:0x0f0f1000 x25=0x0f0f0f0f
           8162	       306	80000112	3a0c9073	csrrw	x0,pmpcfg0,x25	 x25:0x0f0f0f0f  x0=0x00000000
           8222	       309	80000116	00003c97	auipc	x25,0x3	 x25=0x80003116
           8382	       317	8000011a	3d6c8c93	addi	x25,x25,982	 x25:0x80003116 x25=0x800034ec
           8402	       318	8000011e	444448b7	lui	x17,0x44444	 x17=0x44444000
           8422	       319	80000122	44488893	addi	x17,x17,1092	 x17:0x44444000 x17=0x44444444
           8442	       320	80000126	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x44444444 x25=0xc4447930
           8622	       329	80000128	002cdc93	srli	x25,x25,0x2	 x25:0xc4447930 x25=0x31111e4c
           8642	       330	8000012c	3b4c9073	csrrw	x0,pmpaddr4,x25	 x25:0x31111e4c  x0=0x00000000
           8702	       333	80000130	00003c97	auipc	x25,0x3	 x25=0x80003130
           8782	       337	80000134	3bcc8c93	addi	x25,x25,956	 x25:0x80003130 x25=0x800034ec
           8802	       338	80000138	555558b7	lui	x17,0x55555	 x17=0x55555000
           8882	       342	8000013c	55588893	addi	x17,x17,1365	 x17:0x55555000 x17=0x55555555
           8902	       343	80000140	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x55555555 x25=0xd5558a41
           9062	       351	80000142	002cdc93	srli	x25,x25,0x2	 x25:0xd5558a41 x25=0x35556290
           9482	       372	80000146	3b5c9073	csrrw	x0,pmpaddr5,x25	 x25:0x35556290  x0=0x00000000
           9542	       375	8000014a	00003c97	auipc	x25,0x3	 x25=0x8000314a
           9562	       376	8000014e	3a2c8c93	addi	x25,x25,930	 x25:0x8000314a x25=0x800034ec
           9762	       386	80000152	666668b7	lui	x17,0x66666	 x17=0x66666000
           9962	       396	80000156	66688893	addi	x17,x17,1638	 x17:0x66666000 x17=0x66666666
           9982	       397	8000015a	9cc6	c.add	x25,x17	 x25:0x800034ec x17:0x66666666 x25=0xe6669b52
          10002	       398	8000015c	002cdc93	srli	x25,x25,0x2	 x25:0xe6669b52 x25=0x3999a6d4
