Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          43269	      2061	80000080	40001637	lui	x12,0x40001	 x12=0x40001000
          43309	      2063	80000084	10660613	addi	x12,x12,262	 x12:0x40001000 x12=0x40001106
          43349	      2065	80000088	30161073	csrrw	x0,misa,x12	 x12:0x40001106  x0=0x00000000
          43449	      2070	8000008c	00026417	auipc	x8,0x26	  x8=0x8002608c
          43869	      2091	80000090	c5840413	addi	x8,x8,-936	  x8:0x8002608c  x8=0x80025ce4
          43889	      2092	80000094	00002617	auipc	x12,0x2	 x12=0x80002094
          43909	      2093	80000098	66c60613	addi	x12,x12,1644	 x12:0x80002094 x12=0x80002700
          44249	      2110	8000009c	00166613	ori	x12,x12,1	 x12:0x80002700 x12=0x80002701
          44269	      2111	800000a0	30561073	csrrw	x0,mtvec,x12	 x12:0x80002701  x0=0x00000000
          44329	      2114	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          44589	      2127	800000a8	00003997	auipc	x19,0x3	 x19=0x800030a8
          44809	      2138	800000ac	40098993	addi	x19,x19,1024	 x19:0x800030a8 x19=0x800034a8
          44869	      2141	800000b0	4601	c.li	x12,0	 x12=0x00000000
          44889	      2142	800000b2	99b2	c.add	x19,x12	 x19:0x800034a8 x12:0x80002701 x19=0x00005ba9
          44909	      2143	800000b4	0029d993	srli	x19,x19,0x2	 x19:0x00005ba9 x19=0x000016ea
