Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2253	        11	80000080	40001437	lui	x8,0x40001	  x8=0x40001000
           2473	        22	80000084	10640413	addi	x8,x8,262	  x8:0x40001000  x8=0x40001106
           2493	        23	80000088	30141073	csrrw	x0,misa,x8	  x8:0x40001106  x0=0x00000000
           2913	        44	8000008c	00026797	auipc	x15,0x26	 x15=0x8002608c
           3333	        65	80000090	c5878793	addi	x15,x15,-936	 x15:0x8002608c x15=0x80025ce4
           3593	        78	80000094	00002417	auipc	x8,0x2	  x8=0x80002094
           3753	        86	80000098	66c40413	addi	x8,x8,1644	  x8:0x80002094  x8=0x80002700
           3833	        90	8000009c	00146413	ori	x8,x8,1	  x8:0x80002700  x8=0x80002701
           3853	        91	800000a0	30541073	csrrw	x0,mtvec,x8	  x8:0x80002701  x0=0x00000000
           3913	        94	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3973	        97	800000a8	00003217	auipc	x4,0x3	  x4=0x800030a8
           4093	       103	800000ac	40020213	addi	x4,x4,1024	  x4:0x800030a8  x4=0x800034a8
           4273	       112	800000b0	4401	c.li	x8,0	  x8=0x00000000
           4293	       113	800000b2	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x00000000  x4=0x800034a8
           4693	       133	800000b4	00225213	srli	x4,x4,0x2	  x4:0x800034a8  x4=0x20000d2a
           4953	       146	800000b8	3b021073	csrrw	x0,pmpaddr0,x4	  x4:0x20000d2a  x0=0x00000000
           5013	       149	800000bc	00003217	auipc	x4,0x3	  x4=0x800030bc
           5033	       150	800000c0	3ec20213	addi	x4,x4,1004	  x4:0x800030bc  x4=0x800034a8
           5053	       151	800000c4	11111437	lui	x8,0x11111	  x8=0x11111000
           5173	       157	800000c8	11140413	addi	x8,x8,273	  x8:0x11111000  x8=0x11111111
           5193	       158	800000cc	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x11111111  x4=0x911145b9
           5253	       161	800000ce	00225213	srli	x4,x4,0x2	  x4:0x911145b9  x4=0x2444516e
           5353	       166	800000d2	3b121073	csrrw	x0,pmpaddr1,x4	  x4:0x2444516e  x0=0x00000000
           5413	       169	800000d6	00003217	auipc	x4,0x3	  x4=0x800030d6
           5713	       184	800000da	3d220213	addi	x4,x4,978	  x4:0x800030d6  x4=0x800034a8
           5733	       185	800000de	22222437	lui	x8,0x22222	  x8=0x22222000
           5893	       193	800000e2	22240413	addi	x8,x8,546	  x8:0x22222000  x8=0x22222222
           5913	       194	800000e6	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x22222222  x4=0xa22256ca
           6013	       199	800000e8	00225213	srli	x4,x4,0x2	  x4:0xa22256ca  x4=0x288895b2
           6273	       212	800000ec	3b221073	csrrw	x0,pmpaddr2,x4	  x4:0x288895b2  x0=0x00000000
           6333	       215	800000f0	00003217	auipc	x4,0x3	  x4=0x800030f0
           6733	       235	800000f4	3b820213	addi	x4,x4,952	  x4:0x800030f0  x4=0x800034a8
           6753	       236	800000f8	33333437	lui	x8,0x33333	  x8=0x33333000
           6773	       237	800000fc	33340413	addi	x8,x8,819	  x8:0x33333000  x8=0x33333333
           6793	       238	80000100	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x33333333  x4=0xb33367db
           7133	       255	80000102	00225213	srli	x4,x4,0x2	  x4:0xb33367db  x4=0x2cccd9f6
           7153	       256	80000106	3b321073	csrrw	x0,pmpaddr3,x4	  x4:0x2cccd9f6  x0=0x00000000
           7573	       277	8000010a	0f0f1237	lui	x4,0xf0f1	  x4=0x0f0f1000
           7613	       279	8000010e	f0f20213	addi	x4,x4,-241	  x4:0x0f0f1000  x4=0x0f0f0f0f
           7633	       280	80000112	3a021073	csrrw	x0,pmpcfg0,x4	  x4:0x0f0f0f0f  x0=0x00000000
           7693	       283	80000116	00003217	auipc	x4,0x3	  x4=0x80003116
           8073	       302	8000011a	39220213	addi	x4,x4,914	  x4:0x80003116  x4=0x800034a8
           8113	       304	8000011e	44444437	lui	x8,0x44444	  x8=0x44444000
           8133	       305	80000122	44440413	addi	x8,x8,1092	  x8:0x44444000  x8=0x44444444
           8153	       306	80000126	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x44444444  x4=0xc44478ec
           8173	       307	80000128	00225213	srli	x4,x4,0x2	  x4:0xc44478ec  x4=0x31111e3b
           8193	       308	8000012c	3b421073	csrrw	x0,pmpaddr4,x4	  x4:0x31111e3b  x0=0x00000000
           8253	       311	80000130	00003217	auipc	x4,0x3	  x4=0x80003130
           8273	       312	80000134	37820213	addi	x4,x4,888	  x4:0x80003130  x4=0x800034a8
           8293	       313	80000138	55555437	lui	x8,0x55555	  x8=0x55555000
           8313	       314	8000013c	55540413	addi	x8,x8,1365	  x8:0x55555000  x8=0x55555555
           8333	       315	80000140	9222	c.add	x4,x8	  x4:0x800034a8  x8:0x55555555  x4=0xd55589fd
           8353	       316	80000142	00225213	srli	x4,x4,0x2	  x4:0xd55589fd  x4=0x3555627f
